id,tips,actTyp,refTyp,amount1,amount2,price,actInfo,reward
10001001,登录礼包,10001,1,1,-1,-1,登录第1天,31001;5|11001;30|10012;3|11002;8000
10001002,,10001,1,2,-1,-1,登录第2天,41010;1|11001;50|11003;300|11002;12000
10001003,,10001,1,3,-1,-1,登录第3天,73000;1|11001;80|10012;5|11002;15000
10001004,,10001,1,4,-1,-1,登录第4天,10030;5|11001;100|11004;300|11002;20000
10001005,,10001,1,5,-1,-1,登录第5天,10052;5|11001;120|10012;8|11002;25000
10001006,,10001,1,6,-1,-1,登录第6天,10003;2|11001;150|11003;500|11002;30000
10001007,,10001,1,7,-1,-1,登录第7天,41015;1|11001;180|10012;10|11002;40000
10001008,,10001,1,8,-1,-1,登录第8天,10051;3|11001;200|11004;500|11002;50000
10002001,超值月卡,10002,-1,-1,-1,-1,白金月卡,-1
10002002,,10002,-1,-1,-1,-1,至尊月卡,-1
10030001,战力排行,10003,2,1,1,-1,第1名,31004;220|73033;1|73000;5
10030002,,10003,2,2,2,-1,第2名,31004;160|73007;1|73000;4
10030003,,10003,2,3,3,-1,第3名,31004;120|73004;1|73000;3
10030004,,10003,2,4,6,-1,第4~6名,31042;100|73000;2
10030005,,10003,2,7,10,-1,第7~10名,31043;100|73000;1
10030006,,10003,2,11,20,-1,第11~20名,31002;100|73000;1
10040001,公孙胜展示,10004,-1,41013,-1,-1,,-1
10050001,理柴通,10005,5,15,-1,-1,15级,11001;400
10050002,,10005,5,20,-1,-1,20级,11001;500
10050003,,10005,5,25,-1,-1,25级,11001;600
10050004,,10005,5,30,-1,-1,30级,11001;700
10050005,,10005,5,35,-1,-1,35级,11001;800
10050006,,10005,5,40,-1,-1,40级,11001;1000
10050007,,10005,5,45,-1,-1,45级,11001;1200
10050008,,10005,5,50,-1,-1,50级,11001;1688
