id,week,type,monsterShow,rewardShow,fightId,num,resId,,
1001,1,1,41001|41030|41009|41002|41027|41007,10101|10102|10103|10104,304001|304002|304003,2,103,,
1002,2,1,41001|41030|41006|41007|41026|41002,10101|10102|10103|10104,304004|304005|304006,2,103,,
1003,3,1,41001|41029|41002|41009|41026|41007,10101|10102|10103|10104,304007|304008|304009,2,103,,
1004,4,1,41001|41034|41006|41002|41027|41009,10101|10102|10103|10104,304010|304011|304012,2,103,,
1005,5,1,41001|41030|41009|41002|41027|41011,10101|10102|10103|10104,304013|304014|304015,2,103,,
1006,6,1,41001|41010|41011|41002|41026|41006,10101|10102|10103|10104,304016|304017|304018,2,103,,
1007,7,1,41001|41030|41006|41002|41026|41009,10101|10102|10103|10104,304019|304020|304021,2,103,,
2001,1,2,-1,10011|10012|10013,301001|301002|301003,2,104,,
2002,2,2,-1,10011|10012|10013,301001|301002|301003,2,104,,
2003,3,2,-1,10011|10012|10013,301001|301002|301003,2,104,,
2004,4,2,-1,10011|10012|10013,301001|301002|301003,2,104,,
2005,5,2,-1,10011|10012|10013,301001|301002|301003,2,104,,
2006,6,2,-1,10011|10012|10013,301001|301002|301003,2,104,,
2007,7,2,-1,10011|10012|10013,301001|301002|301003,2,104,,
3001,1,3,-1,11002,302001|302002|302003,2,105,,
3002,2,3,-1,11002,302001|302002|302003,2,105,,
3003,3,3,-1,11002,302001|302002|302003,2,105,,
3004,4,3,-1,11002,302001|302002|302003,2,105,,
3005,5,3,-1,11002,302001|302002|302003,2,105,,
3006,6,3,-1,11002,302001|302002|302003,2,105,,
3007,7,3,-1,11002,302001|302002|302003,2,105,,
