id,name,type,level,enterLv,winCon,amount,cost,monsterId,maleAI,femaleAI,reward,rewardFirst,exp,coin,time,resId,des,rewardShow,monsterShow,bossShow,maxRound,startdate,enddate,openday,orderNum,bgId,titleId,love,condition,sceneRound,newBgId,iff,monsterRound,newMonsterId,heroReward
200001,千层塔1层,1,-1,17,1,-1,0,440011|440012|440013|0|440014|0|0|440015|440024,-1,-1,91001,-1,5,100,1,-1,击败全部敌人,-1,0,41002,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200002,千层塔2层,1,-1,17,1,-1,0,440021|440022|440023|0|440024|0|0|440025|440034,-1,-1,91002,-1,5,100,1,-1,击败全部敌人,-1,0,41005,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200003,千层塔3层,1,-1,17,1,-1,0,440031|440032|440033|0|440034|0|0|440035|440044,-1,-1,91003,-1,5,100,1,-1,击败全部敌人,-1,0,41002,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200004,千层塔4层,1,-1,17,1,-1,0,440041|440042|440043|0|440044|0|0|440045|440054,-1,-1,91004,-1,5,100,1,-1,击败全部敌人,-1,0,41007,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200005,千层塔5层,1,-1,17,1,-1,0,440051|440052|440053|0|440054|0|0|440055|440014,-1,-1,91005,-1,5,100,1,-1,击败全部敌人,"10016,1|10008,5",0,41005,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200006,千层塔6层,1,-1,17,2,4,0,440061|440062|440063|440064|440065|0|0|0|440075,-1,-1,91006,-1,5,100,1,-1,胜利并至少存活4个英雄,-1,0,41010,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200007,千层塔7层,1,-1,17,2,4,0,440071|440072|440073|440074|440075|0|0|0|440065,-1,-1,91007,-1,5,100,1,-1,胜利并至少存活4个英雄,-1,0,41020,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200008,千层塔8层,1,-1,17,2,4,0,440081|440082|440083|440084|440085|0|0|0|440064,-1,-1,91008,-1,5,100,1,-1,胜利并至少存活4个英雄,-1,0,41001,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200009,千层塔9层,1,-1,17,2,4,0,440091|440092|440093|440094|440095|0|0|0|440075,-1,-1,91009,-1,5,100,1,-1,胜利并至少存活4个英雄,-1,0,41001,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
200010,千层塔10层,1,-1,17,2,4,0,440101|440102|440103|440104|440105|0|0|0|440065,-1,-1,91010,-1,5,100,1,-1,胜利并至少存活4个英雄,"10016,1|10008,5",0,41007,20,20150101,20871015,1111111,0,113,-1,-1,-1,-1,-1,-1,-1,-1,-1
