id,dropNum,itmWgt
90001,1,"11001,10,20|11002,5000,100"
90002,1,"10001,1,50|10002,1,100"
90003,1,"10101,1,20|10102,1,25|10103,1,33|10104,1,50|10105,1,100"
90004,1,"10011,1,58|10012,1,70|10013,1,77|10014,1,100"
90005,1,"10016,1,50|10017,1,50|10018,1,67|10019,1,100"
90006,1,"10004,1,20|10005,1,25|10006,1,33|10008,5,50|10010,1,100"
90007,1,"31030,1,20|31034,1,25|31032,1,33|31002,1,50|31009,1,100"
90008,1,"31009,1,25|31023,1,33|31011,1,50|31020,1,100"
90009,1,"31029,1,20|31010,1,25|31007,1,33|31001,1,50|31033,1,100"
90010,1,"31016,1,20|31006,1,25|31017,1,33|31015,1,50|31026,1,100"
90011,1,"31008,1,25|31005,1,33|31003,1,50|31004,1,100"
90012,1,"31013,1,25|31014,1,33|31027,1,50|31015,1,100"
90013,9,"72121,9,100|72221,9,100|72321,9,100"
90014,9,"72124,15,100|72224,15,100|72324,15,100"
90015,9,"72127,24,100|72227,24,100|72327,24,100"
90016,9,"72131,45,100|72231,45,100|72331,45,100"
90017,9,"72134,75,100|72234,75,100|72334,75,100"
90018,9,"72137,120,100|72237,120,100|72337,120,100"
90019,1,"41030,1,20|41034,1,25|41032,1,33|41002,1,50|41009,1,100"
90020,1,"41009,1,25|41023,1,33|41011,1,50|41020,1,100"
90021,1,"41029,1,20|41010,1,25|41007,1,33|41001,1,50|41033,1,100"
90022,1,"41016,1,20|41006,1,25|41017,1,33|41015,1,50|41026,1,100"
90023,1,"41008,1,50|41015,1,100"
90024,1,"10020,1,17|10021,1,20|10022,1,25|10023,1,33|10024,1,50|10025,1,100"
90025,1,"10010,1,0|72101,1,33|72201,1,50|72301,1,100"
90026,1,"10010,1,0|72111,1,6|72211,1,6|72311,1,7|72114,1,12|72214,1,13|72314,1,100"
90027,1,"10010,1,0|72121,1,4|72221,1,4|72321,1,4|72124,1,6|72224,1,6|72324,1,7|72127,1,12|72227,1,13|72327,1,100"
90028,1,"10010,1,0|72131,1,4|72231,1,4|72331,1,4|72134,1,6|72234,1,6|72334,1,7|72137,1,12|72237,1,13|72337,1,100"
90029,1,"10010,1,0|72141,1,4|72241,1,4|72341,1,4|72144,1,5|72244,1,5|72344,1,6|72147,1,9|72247,1,10|72347,1,10|72150,1,34|72250,1,50|72350,1,100"
90030,1,"10010,1,0|72151,1,12|72251,1,13|72351,1,15|72152,1,17|72252,1,20|72352,1,25|72153,1,34|72253,1,50|72353,1,100"
90031,1,"10010,1,0|71101,1,6|71102,1,6|71103,1,7|71201,1,7|71202,1,8|71203,1,8|71301,1,9|71302,1,10|71303,1,10|71401,1,12|71402,1,13|71403,1,15|71501,1,17|71502,1,20|71503,1,25|71601,1,34|71602,1,50|71603,1,100"
90032,1,"10010,1,0|71111,1,6|71112,1,6|71113,1,7|71211,1,7|71212,1,8|71213,1,8|71311,1,9|71312,1,10|71313,1,10|71411,1,12|71412,1,13|71413,1,15|71511,1,17|71512,1,20|71513,1,25|71611,1,34|71612,1,50|71613,1,100"
90033,1,"10010,1,0|71121,1,6|71122,1,6|71123,1,7|71221,1,7|71222,1,8|71223,1,8|71321,1,9|71322,1,10|71323,1,10|71421,1,12|71422,1,13|71423,1,15|71521,1,17|71522,1,20|71523,1,25|71621,1,34|71622,1,50|71623,1,100"
90034,1,"10010,1,0|71131,1,6|71132,1,6|71133,1,7|71231,1,7|71232,1,8|71233,1,8|71331,1,9|71332,1,10|71333,1,10|71431,1,12|71432,1,13|71433,1,15|71531,1,17|71532,1,20|71533,1,25|71631,1,34|71632,1,50|71633,1,100"
90035,1,"10010,1,0|71141,1,6|71142,1,6|71143,1,7|71241,1,7|71242,1,8|71243,1,8|71341,1,9|71342,1,10|71343,1,10|71441,1,12|71442,1,13|71443,1,15|71541,1,17|71542,1,20|71543,1,25|71641,1,34|71642,1,50|71643,1,100"
90036,1,"10010,1,0|32116,1,30|32216,1,43|32316,1,100"
90037,1,"10010,1,0|32117,1,25|32217,1,33|32317,1,50|32417,1,100"
90038,1,"10010,1,0|32118,1,20|32218,1,25|32318,1,33|32418,1,50|32518,1,100"
90039,1,"10010,1,0|32119,1,17|32219,1,20|32319,1,25|32419,1,33|32519,1,50|32619,1,100"
90040,1,"10010,1,0|32120,1,17|32220,1,20|32320,1,25|32420,1,33|32520,1,50|32620,1,100"
90041,1,"10010,1,0|32121,1,17|32221,1,20|32321,1,25|32421,1,33|32521,1,50|32621,1,100"
90042,1,"10010,1,0|32122,1,17|32222,1,20|32322,1,25|32422,1,33|32522,1,50|32622,1,100"
90043,1,"10010,1,0|32123,1,17|32223,1,20|32323,1,25|32423,1,33|32523,1,50|32623,1,100"
90044,1,"10010,1,0|32124,1,17|32224,1,20|32324,1,25|32424,1,33|32524,1,50|32624,1,100"
90045,1,"10010,1,0|32125,1,17|32225,1,20|32325,1,25|32425,1,33|32525,1,50|32625,1,100"
90046,1,"10010,1,0|32126,1,17|32226,1,20|32326,1,25|32426,1,33|32526,1,50|32626,1,100"
90047,2,"10101,5,20|10102,5,25|10103,5,33|10104,5,50|10105,5,100"
90048,2,"10101,5,20|10102,5,25|10103,5,33|10104,5,50|10105,5,100"
90049,2,"10101,5,20|10102,5,25|10103,5,33|10104,5,50|10105,5,100"
90050,1,"10101,1,100"
90051,1,"31030,1,50|31011,1,100"
90052,1,"31032,1,12|31002,1,14|31026,1,17|31029,1,20|31010,1,25|31034,1,33|31023,1,50|31020,1,100"
90053,1,"31007,1,10|31001,1,11|31034,1,12|31016,1,14|31006,1,17|31009,1,20|31017,1,25|31005,1,33|31015,1,50|31027,1,100"
90054,1,"10051,1,66|10045,1,17|10046,1,20|10047,1,25|10048,1,33|10049,1,50|10050,1,100"
90055,1,"72111,1,17|72211,1,20|72311,1,25|72114,1,33|72214,1,50|72314,1,100"
90056,1,"72121,1,11|72221,1,12|72321,1,14|72124,1,17|72224,1,20|72324,1,25|72127,1,33|72227,1,50|72327,1,100"
90057,1,"72131,1,11|72231,1,12|72331,1,14|72134,1,17|72234,1,20|72334,1,25|72137,1,33|72237,1,50|72337,1,100"
90058,1,"72141,1,11|72241,1,12|72341,1,14|72144,1,17|72244,1,20|72344,1,25|72147,1,33|72247,1,50|72347,1,100"
90059,1,"71111,1,33|71112,1,50|71113,1,100"
90060,1,"71211,1,33|71212,1,50|71213,1,100"
90061,1,"71311,1,33|71312,1,50|71313,1,100"
90062,1,"71411,1,33|71412,1,50|71413,1,100"
90063,1,"71121,1,33|71122,1,50|71123,1,100"
90064,1,"71221,1,33|71222,1,50|71223,1,100"
90065,1,"71321,1,33|71322,1,50|71323,1,100"
90066,1,"71421,1,33|71422,1,50|71423,1,100"
90067,1,"71131,1,33|71132,1,50|71133,1,100"
90068,1,"71231,1,33|71232,1,50|71233,1,100"
90069,1,"71331,1,33|71332,1,50|71333,1,100"
90070,1,"71431,1,33|71432,1,50|71433,1,100"
90071,1,"71141,1,33|71142,1,50|71143,1,100"
90072,1,"71241,1,33|71242,1,50|71243,1,100"
90073,1,"71341,1,33|71342,1,50|71343,1,100"
90074,1,"71441,1,33|71442,1,50|71443,1,100"
90075,1,"73001,1,17|73002,1,20|73003,1,25|73004,1,33|73005,1,50|73006,1,100"
90076,1,"73007,1,17|73008,1,20|73009,1,25|73010,1,33|73011,1,50|73012,1,100"
90077,1,"41029,1,10|41010,1,11|41034,1,12|41005,1,14|41007,1,17|41001,1,20|41019,1,25|41007,1,33|41009,1,50|41017,1,100"
90078,1,"41032,1,12|41002,1,14|41026,1,14|41029,1,20|41010,1,25|41034,1,33|41023,1,50|41020,1,100"
90079,1,"41030,1,50|41011,1,100"
90080,1,"31029,1,25|31007,1,33|31006,1,50|31027,1,100"
90081,1,"11002,5000,100"
90082,1,"10011,1,55|10012,1,67|10013,1,100"
90083,1,"10045,1,68|10046,1,63|10047,1,100"
90084,1,"10048,1,68|10049,1,63|10050,1,100"
90085,3,"10071,2,100|10071,1,50|10071,1,50"
90100,1,"10011,15,100|10012,5,100|10013,2,50|10011,1,50|10011,2,50"
90101,1,"10012,15,100|10013,5,100|10013,5,59"
90102,1,"10013,15,100|10013,59,100|10014,1,100|10014,2,44"
90200,1,"11002,1,100|11002,1,0"
90201,1,"11002,1,100|11002,1,0"
90202,1,"11002,1,100|11002,1,0"
90300,1,"11002,5000,30|11001,10,10|11006,50,10|10101,1,10|10102,1,10|10103,1,10|10104,1,10|10105,1,10"
90301,1,"10101,1,20|10102,1,20|10103,1,20|10104,1,20|10105,1,20"
90302,1,"10101,1,20|10102,1,20|10103,1,20|10104,1,20|10105,1,20"
90303,1,"10101,2,20|10102,2,20|10103,2,20|10104,2,20|10105,2,20"
90304,1,"10101,2,20|10102,2,20|10103,2,20|10104,2,20|10105,2,20"
90305,1,"10101,3,20|10102,3,20|10103,3,20|10104,3,20|10105,3,20"
90401,1,"10030,1,50|10015,1,1|10010,5,100"
90402,1,"10030,1,50|10015,1,1|10010,5,100"
90403,1,"10030,1,50|10015,1,1|10010,5,100"
90404,1,"10030,1,50|10015,1,1|10010,5,100"
90405,1,"10030,1,50|10015,1,1|10010,5,100"
90406,1,"10030,1,50|10015,1,1|10010,5,100"
90407,1,"10030,1,50|10015,1,1|10010,5,100"
90408,1,"10030,1,50|10015,1,1|10010,5,100"
90409,1,"10030,1,50|10015,1,1|10010,5,100"
90410,1,"10030,1,50|10015,1,1|10010,5,100"
91001,3,"10016,1,100"
91002,3,"10016,1,100"
91003,3,"10016,1,100"
91004,3,"10016,1,100"
91005,3,"10016,1,100|10008,5,100"
91006,3,"10016,1,100"
91007,3,"10016,1,100"
91008,3,"10016,1,100"
91009,3,"10016,1,100"
91010,4,"10016,1,100|10008,5,100"
91011,3,"10016,1,100|11001,5,100"
91012,3,"10016,1,100|11001,5,100"
91013,3,"10016,1,100|11001,5,100"
91014,3,"10016,1,100|11001,5,100"
91015,3,"10016,1,100|10008,5,100|11001,20,100"
91016,3,"10016,1,100|11001,5,100"
91017,3,"10016,1,100|11001,5,100"
91018,3,"10016,1,100|11001,5,100"
91019,3,"10016,1,100|11001,5,100"
91020,4,"10016,1,100|10008,5,100|11001,20,100"
91021,3,"10016,1,100|11001,5,100"
91022,3,"10016,1,100|11001,5,100"
91023,3,"10016,1,100|11001,5,100"
91024,3,"10016,1,100|11001,5,100"
91025,3,"10016,1,100|10008,5,100|11001,50,100"
91026,3,"10016,1,100"
91027,3,"10016,1,100"
91028,3,"10016,1,100"
91029,3,"10016,1,100"
91030,4,"10016,1,100|10008,5,100"
91031,3,"10017,1,100"
91032,3,"10017,1,100"
91033,3,"10017,1,100"
91034,3,"10017,1,100"
91035,3,"10017,1,100|10008,5,100"
91036,3,"10017,1,100"
91037,3,"10017,1,100"
91038,3,"10017,1,100"
91039,3,"10017,1,100"
91040,4,"10017,1,100|10008,5,100"
91041,3,"10017,1,100"
91042,3,"10017,1,100"
91043,3,"10017,1,100"
91044,3,"10017,1,100"
91045,3,"10017,1,100|10008,5,100"
91046,3,"10017,1,100"
91047,3,"10017,1,100"
91048,3,"10017,1,100"
91049,3,"10017,1,100"
91050,4,"10017,1,100|10008,5,100"
91051,3,"10017,1,100"
91052,3,"10017,1,100"
91053,3,"10017,1,100"
91054,3,"10017,1,100"
91055,3,"10017,1,100|10008,5,100"
91056,3,"10017,1,100"
91057,3,"10017,1,100"
91058,3,"10017,1,100"
91059,3,"10017,1,100"
91060,4,"10017,1,100|10008,5,100"
91061,3,"10017,1,100"
91062,3,"10017,1,100"
91063,3,"10017,1,100"
91064,3,"10017,1,100"
91065,3,"10017,1,100|10008,5,100"
91066,3,"10017,1,100"
91067,3,"10017,1,100"
91068,3,"10017,1,100"
91069,3,"10017,1,100"
91070,4,"10018,1,100|10008,5,100"
91071,3,"10018,1,100"
91072,3,"10018,1,100"
91073,3,"10018,1,100"
91074,3,"10018,1,100"
91075,3,"10018,1,100|10008,5,100"
91076,3,"10018,1,100"
91077,3,"10018,1,100"
91078,3,"10018,1,100"
91079,3,"10018,1,100"
91080,4,"10018,1,100|10008,5,100"
91081,3,"10018,1,100"
91082,3,"10018,1,100"
91083,3,"10018,1,100"
91084,3,"10018,1,100"
91085,3,"10018,1,100|10008,5,100"
91086,3,"10018,1,100"
