id,buildingType,buildingName,buildingLevel,levelExp,gangLevel,upperLimit,donate, reset,dropout,current,next,resId
101,1,聚义厅,1,20000,1,20,45000,-1,-1,帮派等级lv1，成员上限20人,帮派等级lv2，成员上限21人,60001
102,1,聚义厅,2,30000,2,21,48000,-1,-1,帮派等级lv2，成员上限21人,帮派等级lv3，成员上限22人,60001
103,1,聚义厅,3,44000,3,22,51000,-1,-1,帮派等级lv3，成员上限22人,帮派等级lv4，成员上限23人,60001
104,1,聚义厅,4,62000,4,23,54000,-1,-1,帮派等级lv4，成员上限23人,帮派等级lv5，成员上限24人,60001
105,1,聚义厅,5,84000,5,24,57000,-1,-1,帮派等级lv5，成员上限24人,帮派等级lv6，成员上限25人,60001
106,1,聚义厅,6,110000,6,25,60000,-1,-1,帮派等级lv6，成员上限25人,帮派等级lv7，成员上限26人,60001
107,1,聚义厅,7,140000,7,26,63000,-1,-1,帮派等级lv7，成员上限26人,帮派等级lv8，成员上限27人,60001
108,1,聚义厅,8,174000,8,27,66000,-1,-1,帮派等级lv8，成员上限27人,帮派等级lv9，成员上限28人,60001
109,1,聚义厅,9,212000,9,28,69000,-1,-1,帮派等级lv9，成员上限28人,帮派等级lv10，成员上限29人,60001
110,1,聚义厅,10,254000,10,29,72000,-1,-1,帮派等级lv10，成员上限29人,帮派等级lv11，成员上限30人,60001
111,1,聚义厅,11,300000,11,30,75000,-1,-1,帮派等级lv11，成员上限30人,帮派等级lv12，成员上限30人,60001
112,1,聚义厅,12,350000,12,30,78000,-1,-1,帮派等级lv12，成员上限30人,帮派等级lv13，成员上限30人,60001
113,1,聚义厅,13,404000,13,30,81000,-1,-1,帮派等级lv13，成员上限30人,帮派等级lv14，成员上限30人,60001
114,1,聚义厅,14,462000,14,30,84000,-1,-1,帮派等级lv14，成员上限30人,帮派等级lv15，成员上限30人,60001
115,1,聚义厅,15,524000,15,30,87000,-1,-1,帮派等级lv15，成员上限30人,帮派等级lv16，成员上限30人,60001
116,1,聚义厅,16,590000,16,30,90000,-1,-1,帮派等级lv16，成员上限30人,帮派等级lv17，成员上限30人,60001
117,1,聚义厅,17,660000,17,30,90000,-1,-1,帮派等级lv17，成员上限30人,帮派等级lv18，成员上限30人,60001
118,1,聚义厅,18,734000,18,30,90000,-1,-1,帮派等级lv18，成员上限30人,帮派等级lv19，成员上限30人,60001
119,1,聚义厅,19,812000,19,30,90000,-1,-1,帮派等级lv19，成员上限30人,帮派等级lv20，成员上限30人,60001
120,1,聚义厅,20,894000,20,30,90000,-1,-1,帮派等级lv20，成员上限30人,帮派等级lv21，成员上限30人,60001
121,1,聚义厅,21,980000,21,30,90000,-1,-1,帮派等级lv21，成员上限30人,帮派等级lv22，成员上限30人,60001
122,1,聚义厅,22,1070000,22,30,90000,-1,-1,帮派等级lv22，成员上限30人,帮派等级lv23，成员上限30人,60001
123,1,聚义厅,23,1164000,23,30,90000,-1,-1,帮派等级lv23，成员上限30人,帮派等级lv24，成员上限30人,60001
124,1,聚义厅,24,1262000,24,30,90000,-1,-1,帮派等级lv24，成员上限30人,帮派等级lv25，成员上限30人,60001
125,1,聚义厅,25,1364000,25,30,90000,-1,-1,帮派等级lv25，成员上限30人,帮派等级lv26，成员上限30人,60001
126,1,聚义厅,26,1470000,26,30,90000,-1,-1,帮派等级lv26，成员上限30人,帮派等级lv27，成员上限30人,60001
127,1,聚义厅,27,1580000,27,30,90000,-1,-1,帮派等级lv27，成员上限30人,帮派等级lv28，成员上限30人,60001
128,1,聚义厅,28,1694000,28,30,90000,-1,-1,帮派等级lv28，成员上限30人,帮派等级lv29，成员上限30人,60001
129,1,聚义厅,29,1812000,29,30,90000,-1,-1,帮派等级lv29，成员上限30人,帮派等级lv30，成员上限30人,60001
130,1,聚义厅,30,1934000,30,30,90000,-1,-1,帮派等级lv30，成员上限30人,-1,60001
201,2,帮派商店,1,490000,-1,-1,-1,-1,-1,开放帮派商店，可以用帮派兑换道具,开放帮派商店，可以用帮派兑换道具,60002
202,2,帮派商店,2,2156000,-1,-1,-1,-1,-1,开放帮派商店，可以用帮派兑换道具,开放帮派商店，可以用帮派兑换道具,60002
203,2,帮派商店,3,5194000,-1,-1,-1,-1,-1,开放帮派商店，可以用帮派兑换道具,开放帮派商店，可以用帮派兑换道具,60002
204,2,帮派商店,4,9604000,-1,-1,-1,-1,-1,开放帮派商店，可以用帮派兑换道具,-1,60002
301,3,云海寻龙,1,490000,-1,-1,-1,5,"1001,50|1002,50",可额外重置5次,下一级可额外重置6次,60003
302,3,云海寻龙,2,2156000,-1,-1,-1,6,"1001,50|1002,50",可额外重置6次,下一级可额外重置7次,60003
303,3,云海寻龙,3,5194000,-1,-1,-1,7,"1001,50|1002,50",可额外重置7次,下一级可额外重置8次,60003
304,3,云海寻龙,4,9604000,-1,-1,-1,8,"1001,50|1002,50",可额外重置8次,-1,60003
