id,point
41005,0.47|0.41
41004,0.46|0.47
41009,0.49|0.34
41002,0.39|0.4
41099,0.67|0.48
41007,0.55|0.31
41001,0.48|0.47
41003,0.50|0.44
41016,0.52|0.45
41015,0.5|0.46
41008,0.5|0.45
41014,0.58|0.44
41013,0.55|0.41
41006,0.48|0.42
41020,0.45|0.52
41010,0.44|0.33
41017,0.53|0.53
41026,0.45|0.54
41029,0.57|0.37
41032,0.65|0.51
41027,0.6|0.45
41033,0.57|0.4
41023,0.49|0.46
41034,0.41|0.52
41011,0.51|0.51
41030,0.46|0.45
41097,0.49|0.49
41096,0.50|0.50
41098,0.46|0.45
41037,0.55|0.54
41039,0.54|0.56
41040,0.61|0.57
41041,0.47|0.53
41042,0.42|0.33
41043,0.54|0.63
41045,0.45|0.58
41046,0.49|0.54
45002,0.5|0.55
