id,Npc,NpcName,NpcPos,info,,,,,,,,,,
1,41099,主角,1,高俅大魔头！你破坏世界和平的计划是时候终结了！！,,,,,,,,,,
2,41096,高俅,2,年轻的天命人，我们终于见面了~|6eed3b::乌金佩|力量果然不凡，居然让你走到这里！,,,,,,,,,,
3,41099,主角,1,我身后可还站着108个年轻凶悍的生命呢！,,,,,,,,,,
4,41096,高俅,2,好犀利的偷袭，好久没人敢打断本王的讲话了，既然你这么着急，那就让你感受下我【一球天王】的阴暗面吧！,,,,,,,,,,
5,41004,林冲,1,天命人，我们感受到了能量波动，就立即赶了过来。,,,,,,,,,,
6,41096,高俅,2,战斗好像越来越有意思了，不过人再多也只是一球，我可要动手了蝼蚁们！,,,,,,,,,,
7,41099,主角,1,大家来得正是时候，快|6eed3b::集火|别给他机会！,,,,,,,,,,
8,41096,高俅,2,你…你怎么不按套路出牌…我还没放球呢…,,,,,,,,,,
9,41097,佩佩,1,主人主人，你终于醒了，又做噩梦了吗？,,,,,,,,,,
10,41099,主角,2,又是那个可怕的梦，一个玩球的怪叔叔不断的与我战斗…,,,,,,,,,,
11,41097,佩佩,1,主人的|6eed3b::天命之力|貌似快要觉醒了，是时候让你去了解你真正的命运了。,,,,,,,,,,
12,41097,佩佩,2,主人招募了新帮手，冒险可以正式开始了！,,,,,,,,,,
13,41097,佩佩,1,最近一群官兵疯了一样伤害村民，主人快去看看吧！,,,,,,,,,,
14,41001,鲁智深,1,原来是几个小子在捣乱，当着俺鲁小达的面也敢为非作歹！,,,,,,,,,,
15,41099,主角,1,鲁小哥果然好本事，几铲子就把他们收拾了！,,,,,,,,,,
16,41001,鲁智深,2,他们不够俺热个身，人生真是寂寞如雪啊！赶紧前行别耽误了正事，哈哈哈~~,,,,,,,,,,
17,41097,佩佩,1,那几个不知死活的小兵似乎在等待着什么，我们跟去看看吧！,,,,,,,,,,
18,41097,佩佩,1,主人当心，这些官兵似乎是早有准备，知道我们会来。,,,,,,,,,,
19,41099,主角,1,那个胖头领霸气侧漏，感觉挺凶恶的…,,,,,,,,,,
20,41096,官兵,2,我们大王不会放过你们的！额…（挂了）,,,,,,,,,,
21,41001,鲁智深,1,我们好像下手太重了，还没问话就给他放倒了…,,,,,,,,,,
22,41099,主角,1,再不放倒他，倒下的就是我们了，不过好像掉落了一些|6eed3b::宝物|哦。,,,,,,,,,,
23,41097,佩佩,1,冒险中掉落的|6eed3b::宝物|可以用来觉醒英雄，大幅度提升英雄的属性。,,,,,,,,,,
24,41097,佩佩,1,恭喜主人|6eed3b::觉醒成功|，当英雄觉醒进度满了之后将改变|6eed3b::品质|，提升战斗力！,,,,,,,,,,
25,41097,佩佩,2,英雄的品质分为白-|6eed3b::绿|-|3bceed::蓝|-|f32cff::紫|，每个新品质都将激活一个厉害的|6eed3b::技能|，主人继续加油哦！,,,,,,,,,,
26,41097,佩佩,2,伙伴觉醒强力的追打技，让我们继续冒险吧。,,,,,,,,,,
27,41097,佩佩,2,在|ffad2c::最大连击|中可以查看上阵英雄可能形成的|6eed3b::追打次数|详情。,,,,,,,,,,
28,41097,佩佩,2,鲁智深奥义可造成了|ffad2c::地状态|，追打技可以追打|ffad2c::地状态|，这样当鲁智深在释放奥义后自身就可以多一次|6eed3b::追打|，去试试吧。,,,,,,,,,,
29,41096,怪物,2,年轻人腰上佩饰亮闪闪的，貌似就是大王所要的|6eed3b::乌金佩|，现在交上来饶你们一条小命！,,,,,,,,,,
30,41001,鲁智深,1,放马过来，正好让你们尝尝我新掌握的|6eed3b::追打技|。,,,,,,,,,,
31,41097,佩佩,1,通关获得的|6eed3b::星星|可以兑换好多奖励，试试领取第一个吧！,,,,,,,,,,
32,41097,佩佩,1,恭喜主人获得了奖励，加油|6eed3b::通关|获得更多奖励吧。,,,,,,,,,,
33,41097,佩佩,1,解开封印可以快速获得新的英雄，跟我来试试~,,,,,,,,,,
34,41001,鲁智深,1,是你解开了我的封印吗？据说只有天命之人才能将我释放出来。,,,,,,,,,,
35,41097,佩佩,2,恭喜主人获得了鲁智深，他可是强力的|6eed3b::横排|输出和|6eed3b::先手|英雄。,,,,,,,,,,
36,41096,怪物,2,刚才有个叫史进的已经被我们老大收拾了，就问你怕不怕！,,,,,,,,,,
37,41002,史进,1,哼哼！！睁开你的眼睛看看爸爸是谁！,,,,,,,,,,
38,41096,怪物,2,敌方火力太猛！三十六计，先走为敬！,,,,,,,,,,
39,41096,高俅,2,不愧是拥有|6eed3b::天命之力|的人，能与本王分身一战，哈哈。,,,,,,,,,,
40,41099,主角,1,快让史进恢复过来，可恶的魔王。,,,,,,,,,,
41,41097,佩佩,1,收集齐足够的|6eed3b::灵魂碎片|，就可以给英雄们|6eed3b::升星|了，快来试试吧~,,,,,,,,,,
42,41097,佩佩,1,让我们去关卡中感受一下升星后的强悍实力吧~,,,,,,,,,,
43,41097,佩佩,1,升星所需的英雄碎片会在关卡、任务及各种玩法中产出，主人注意多多收集哦。,,,,,,,,,,
44,41002,史进,1,林冲哥哥你怎么在这？,,,,,,,,,,
45,41099,主角,1,升星果然厉害啊，属性蹭蹭蹭涨了一大截啊！,,,,,,,,,,
46,41096,怪物,2,大王下的邪咒都能解除，还有王法么？兄弟们拼了！,,,,,,,,,,
47,41002,史进,2,年轻的天命人，吾王已经关注你朋友圈好久了，特派我来近身考察下。,,,,,,,,,,
48,41099,主角,1,主角的光环就是这么夺目。,,,,,,,,,,
49,41001,鲁智深,1,偶从他身上感受到一股无比强大的邪气~他不是真正的史进！,,,,,,,,,,
50,41097,佩佩,1,主人快尝试打败他，用你身上的|6eed3b::乌金佩|将他的邪气净化。,,,,,,,,,,
51,41099,主角,1,|6eed3b::乌金佩|原来还有这样的能力，我真是赚大发了。,,,,,,,,,,
52,41002,史进,2,头疼欲裂，我到底是怎么了？,,,,,,,,,,
53,41097,佩佩,1,小兄弟你受到|6eed3b::魔王|的邪气侵扰，还好被我家主人救了。,,,,,,,,,,
54,41002,史进,2,大恩不言谢，以后人家就是你的人了。,,,,,,,,,,
55,41006,武松,1,潘小莲，你给我哥带完帽子就想跑，爷爷我今天就要收下你的灵魂碎片。,,,,,,,,,,
56,41097,佩佩,1,我们收回了潘金莲的|6eed3b::灵魂碎片|，可以在背包中将她招募哦。,,,,,,,,,,
57,41097,佩佩,1,恭喜主人招募了强力奶妈，有了她的|6eed3b::治疗|队伍配置更完善了，别让她等级落下。,,,,,,,,,,
58,41097,佩佩,1,"主人等级的提高，可开放|6eed3b::技能|会越来越多,也会有自由搭配。",,,,,,,,,,
59,41097,佩佩,1,领取通关的成就任务可以获得|6eed3b::英雄碎片|，集齐足够的碎片就能够召唤|6eed3b::新的英雄|了。,,,,,,,,,,
60,41001,鲁智深,1,这位小兄弟可是强力的|6eed3b::单体输出|选手哦，同时能|6eed3b::眩晕|敌人。,,,,,,,,,,
61,41097,佩佩,1,主人，点击|6eed3b::占星|可以增加属性，星星全部点亮后将突破|6eed3b::一重天|，当突破至三重天时提高星级哦。,,,,,,,,,,
62,41097,佩佩,1,星宿可以为主人提供|6eed3b::属性加成|，当星星全部点亮时冲突提高|6eed3b::星级|。,,,,,,,,,,
63,41097,佩佩,1,与英雄进行互动可获得|6eed3b::友情点|和|6eed3b::属性奖励|，先从最简单的送礼开始吧。,,,,,,,,,,
64,41097,佩佩,1,这位英雄好像很喜欢你，他赠送的|6eed3b::友情点数|可以用来强化英雄的属性。,,,,,,,,,,
65,41097,佩佩,2,竞技场是大家切磋武艺，交流心得的圣地，还可以从中获得丰厚的奖励哦。,,,,,,,,,,
66,41099,主角,1,真的吗？我的大刀已经饥渴难耐了！！,,,,,,,,,,
67,41097,佩佩,2,既然主人这么自信，那就挑战一名对手试试吧~,,,,,,,,,,
68,41097,佩佩,1,恭喜主人获得了|6eed3b::第一场胜利|，现在排名已经提升了！竞技场可以获得丰富的|6eed3b::荣誉奖励|，跟我来看看荣誉能兑换什么吧。,,,,,,,,,,
69,41097,佩佩,1,荣誉商店里可以兑换到很多稀有|6eed3b::英雄碎片|和|6eed3b::强化道具|，所以每天都要记得参加竞技哟~~,,,,,,,,,,
70,41097,佩佩,1,完成日常任务可以快速获得|6eed3b::经验|，点击领取一个任务。,,,,,,,,,,
71,41097,佩佩,1,恭喜主人完成了一次日常，日常任务|6eed3b::每天都会刷新|，记得来完成哦。,,,,,,,,,,
72,41097,佩佩,1,主人的实力越来越强，是时候迎接新的挑战了，幻境玩法会带给你全新的体验哦~,,,,,,,,,,
73,41097,佩佩,1,幻境中暗藏着各种机关事件，同时背后也蕴藏了丰富的宝藏，让我们开始探索吧。,,,,,,,,,,
74,41097,佩佩,1,阵型可以强化来为|6eed3b::队伍|提供加成属性哦~快尝试一下~,,,,,,,,,,
75,41097,佩佩,1,果然厉害，强化完后是不是感觉变得更强大了？提升|6eed3b::所有排|的|6eed3b::强化等级|还可以开启强大的阵法哦~~,,,,,,,,,,
76,41096,怪物,2,我们再不敢了，听闻好汉要去相国寺，送上金银盘缠全部家底！,,,,,,,,,,
77,41099,主角,1,正事要紧，暂时饶你一命！,,,,,,,,,,
78,41097,佩佩,1,|6eed3b::新的难度|开放了，主人准备好接受新的挑战了吧。,,,,,,,,,,
79,41097,佩佩,1,看来精英难度也难不住你，哥主人果然是货真价实的天命人啊。,,,,,,,,,,
80,41097,佩佩,1,精英关卡中掉落装备提升的材料和稀有装备，让我来教你怎么使用它们。,,,,,,,,,,
81,41097,佩佩,1,进阶可大幅度提高装备基础属性，进阶后还能提高强化上限。,,,,,,,,,,
82,41097,佩佩,1,活动关卡每天都会开放不同的关卡，挑战成功可以获得大量的银币和经验，礼物奖励哦~~,,,,,,,,,,
83,41097,佩佩,1,千层塔每日产出丰厚的奖励，需要主人调整英雄应对各种难关，达到的层数越高奖励越丰厚。,,,,,,,,,,
84,41097,佩佩,1,恭喜主人通过了第一层，后面奖励会越来越丰富，继续加油哦。,,,,,,,,,,
85,41097,佩佩,1,主人累积的碎片在这里可以获得丰富的成就奖励，激活和升级奖励并不消耗碎片哦。,,,,,,,,,,
86,41097,佩佩,1,结缘的伙伴与主角一起上阵将为主角带来额外的属性加成哦。,,,,,,,,,,
87,41002,史进,1,（挠挠头）…和尚哥哥表客气，先去找那帮害我的人算账。,,,,,,,,,,
88,41006,武松,2,来者何人，又来一个想给我哥哥带绿帽子的？,,,,,,,,,,
89,41099,主角,1,大哥别误会啊，我们是来清理魔王的爪牙的。,,,,,,,,,,
90,41006,武松,2,年轻人，演技太着拙劣了，吃我一刀先。,,,,,,,,,,
91,41001,鲁智深,1,这位兄弟听洒家一句，我们真心是老实人，魔王的魔爪已经伸向世界，你一定是受到了影响。,,,,,,,,,, 
92,41006,武松,2,哥哥遭到谋害，再加上几杯假酒，昏了头脑，还请帮我找到真凶。,,,,,,,,,,
93,41099,主角,1,兄台放心，我们一定找到谋害之人。,,,,,,,,,,
94,41026,潘金莲,2,没想到那大郎的烧饼摊刚租出去就被城管查封了，气死老娘了。,,,,,,,,,,
95,41023,西门庆,2,小娘子别难过，不是还有一份意外伤害险在你名下么。,,,,,,,,,,
96,41099,主角,1,谋财害命，天理不容！,,,,,,,,,,
97,41096,泼皮,2,哟嗬，过路费不交就想上山？哥几个今天就代表月亮消灭你~！,,,,,,,,,,
98,41001,鲁智深,1,抠脚大汉也配代表月亮？看我动感光波！！哔~！哔~！,,,,,,,,,,
99,41099,主角,1,别跟他们一般见识，咱上山要紧！,,,,,,,,,,
100,41001,鲁智深,1,开门开门，俺要进寺避风头…额，拜师。,,,,,,,,,,
101,41096,迎客僧,2,不开不开，师傅说了，看见坏人不能开门！,,,,,,,,,,
102,41001,鲁智深,1,我嚓！俺老鲁玉树临风，哪里像坏人了！！找打是不？,,,,,,,,,,
103,41001,鲁智深,1,哼！还不开门，今天就把你这破门拆了！,,,,,,,,,,
104,41001,鲁智深,1,我拆！我拆！我拆拆拆！,,,,,,,,,,
105,41096,武僧,2,竟敢拆山门，接我一记混元霹雳宇宙无敌金刚掌！,,,,,,,,,,
106,41096,武僧,2,有两下子，等俺去水陆大会吃饱了再来打过！,,,,,,,,,,
107,41001,鲁智深,1,哥哥，听说水陆大会好多吃的，咱也去凑凑热闹。,,,,,,,,,,
108,41096,长老,2,原来你们是来拜师的？先通过本寺3座铜人阵的考核再说吧~,,,,,,,,,,
109,41099,主角,1,咦，这些铜人有点古怪，身上怎么有股若有若无的黑气？,,,,,,,,,,
110,41099,主角,1,果然如此，你们小心这些铜人！,,,,,,,,,,
111,41001,鲁智深,1,肿么回事？,,,,,,,,,,
112,41099,主角,1,这些铜人已经被魔化变成了魔君的爪牙，所以身上才会有黑气！,,,,,,,,,,
113,41096,铜人,2,遵从魔君的旨意，干掉他们！,,,,,,,,,,
114,41001,鲁智深,1,这些铜人如此凶残，那魔君肯定非常恐怖啊，不如咱们把行李分分，赶紧散伙吧~~！,,,,,,,,,,
