id,description,
1,|0x36d94d::@|创建了|0x36d94d::@|，成为了帮主。,玩家昵称创建了帮派名称，成为了帮主
2,|0x36d94d::@|加入了帮派。,玩家昵称加入了帮派
3,帮众|0x36d94d::@|被提升为副帮主。,帮众玩家昵称被提升为副帮主
4,副帮主|0x36d94d::@|被降职为帮众。,副帮主玩家昵称被降职为帮众
5,|0x36d94d::@|被逐出帮派。,玩家昵称被逐出帮派
6,|0x36d94d::@|退出帮派，默哀3分钟。,玩家昵称退出帮派
7,|0x36d94d::@|将帮主之位禅让给了|0x36d94d::@|。,玩家昵称将帮主之位禅让给了玩家昵称
8,|0x36d94d::@|进行了普通捐献，|0x36d94d::@|增加了|0x36d94d::@|经验。,玩家昵称进行了普通捐献，建筑增加了XXX经验。
9,|0x36d94d::@|进行了高级捐献，|0x36d94d::@|增加了|0x36d94d::@|经验。,玩家昵称进行了高级捐献，建筑增加了XXX经验。
10,|0x36d94d::@|进行了土豪捐献，|0x36d94d::@|增加了|0x36d94d::@|经验。,玩家昵称进行了土豪捐献，建筑增加了XXX经验。
11,|0x36d94d::@|等级提升至|0x36d94d::@|，提供了更多的福利。,建筑名称等级提升至LvX，提供了更多的福利。
12,帮派升级了！等级变为|0x36d94d::@|。,帮派升级了！等级变为LVX。
