id,exp
1,20
2,30
3,40
4,50
5,60
6,70
7,80
8,90
9,100
10,110
11,130
12,140
13,160
14,170
15,190
16,200
17,220
18,240
19,260
20,270
21,290
22,310
23,330
24,360
25,380
26,400
27,420
28,450
29,470
30,490
31,520
32,550
33,570
34,600
35,630
36,660
37,680
38,710
39,740
40,770
41,810
42,840
43,870
44,900
45,940
46,970
47,1010
48,1040
49,1080
50,1110
51,1150
52,1190
53,1230
54,1270
55,1310
56,1350
57,1390
58,1430
59,1470
60,1510
61,1560
62,1600
63,1650
64,1690
65,1740
66,1780
67,1830
68,1880
69,1930
70,1970
71,2020
72,2070
73,2120
74,2180
75,2230
76,2280
77,2330
78,2390
79,2440
80,2490
81,2550
82,2610
83,2660
84,2720
85,2780
86,2840
87,2890
88,2950
89,3010
90,3070
91,3140
92,3200
93,3260
94,3320
95,3390
96,3450
97,3520
98,3580
99,3650
100,3710
101,3780
102,3850
103,3920
104,3990
105,4060
106,4130
107,4200
108,4270
109,4340
110,4410
111,4490
112,4560
113,4640
114,4710
115,4790
116,4860
117,4940
118,5020
119,5100
120,5170
121,5250
122,5330
123,5410
124,5500
125,5580
126,5660
127,5740
128,5830
129,5910
130,5990
131,6080
132,6170
133,6250
134,6340
135,6430
136,6520
137,6600
138,6690
139,6780
140,6870
141,6970
142,7060
143,7150
144,7240
145,7340
146,7430
147,7530
148,7620
149,7720
150,7810
151,7910
152,8010
153,8110
154,8210
155,8310
156,8410
157,8510
158,8610
159,8710
160,8810
