id,avlLv,note
10001,2,2倍加速
10002,30,3倍加速
10003,1,冒险（剧情副本）
10004,1,商城
10005,17,迷宫
10006,24,千层塔
10007,19,掠夺
10008,14,情缘
10009,1,星灵
10010,11,竞技场
10011,6,装备强化
10012,1,装备进阶
10013,25,装备洗练
10014,1,英雄进阶
10015,1,训练
10016,21,帮派
10017,22,活动副本
10018,1,阅历
10019,1,扫荡1次
10020,15,主角天赋
10021,1,阵位3开放
10022,1,阵位4开放
10023,1,阵位5开放
10024,7,任务开放
10025,30,生存试练
10026,35,星盘
10027,9,星宿
10028,33,主角缘分
10029,3,自动战斗
10030,15,逃跑等级
10031,24,试练塔（外面功能切入）
10032,25,绝地反击（世界BOSS）
10033,41,炼化炉
10034,19,阵法开放等级
10035,7,成就任务
10036,12,日常任务
10037,35,星盘开放等级
10038,24,神器
10039,27,装备淬炼
10040,45,扫荡10次
10041,20,马书强化
10042,11,排行榜等级
