id,heroId,name,nextQua,nextName,mark,advLvl,value,maxValue,show,qua,level,apt,jobType,sexTyp,tagTyp,atkTyp,hp,atk,pdd,mdd,hit,miss,criPrb,criRes,criCoe,coeRes,ctrPrb,atkID,a_sklID,p1_sklID,p2_sklID,p3_sklID,d_sklID,mat1Id,amount1,mat2Id,amount2,mat3Id,amount3,costCoin,speed
4109901,41099,主角,2,主角,0,1,0,3,-1,1,1,15,2,0,4,1,0,0,0,0,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72101,1,72201,1,72301,1,210,2
4109902,41099,主角,2,主角,0,2,1,3,-1,1,1,15,2,0,4,1,189,24,9,9,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72101,1,72201,1,72301,1,466,4
4109903,41099,主角,2,主角,0,3,2,3,-1,1,3,15,2,0,4,1,377,48,17,17,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72101,1,72201,1,72301,1,536,6
4109904,41099,主角,2,主角+1,0,4,0,3,-1,2,5,15,2,0,4,1,753,95,34,34,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72111,2,72211,2,72311,2,606,8
4109905,41099,主角,2,主角+1,0,5,1,3,-1,2,5,15,2,0,4,1,972,123,44,44,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72111,2,72211,2,72311,2,676,10
4109906,41099,主角,2,主角+1,0,6,2,3,-1,2,7,15,2,0,4,1,1192,150,54,54,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72111,2,72211,2,72311,2,722,12
4109907,41099,主角+1,3,主角,1,7,0,3,-1,2,10,15,2,0,4,1,1443,182,65,65,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72114,2,72214,2,72314,2,886,14
4109908,41099,主角+1,3,主角,1,8,1,3,-1,2,10,15,2,0,4,1,1693,213,76,76,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72114,2,72214,2,72314,2,1072,16
4109909,41099,主角+1,3,主角,1,9,2,3,-1,2,15,15,2,0,4,1,1944,245,87,87,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72114,2,72214,2,72314,2,1281,18
4109910,41099,主角,3,主角+1,0,10,0,3,-1,3,17,15,2,0,4,1,2697,340,121,121,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72121,3,72221,3,72321,3,1514,20
4109911,41099,主角,3,主角+1,0,11,1,3,-1,3,17,15,2,0,4,1,2979,375,133,133,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72121,3,72221,3,72321,3,2661,22
4109912,41099,主角,3,主角+1,0,12,2,3,-1,3,17,15,2,0,4,1,3261,411,146,146,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72121,3,72221,3,72321,3,3877,24
4109913,41099,主角+1,3,主角+2,1,13,0,3,-1,3,24,15,2,0,4,1,3574,450,160,160,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72124,5,72224,5,72324,5,4273,26
4109914,41099,主角+1,3,主角+2,1,14,1,3,-1,3,24,15,2,0,4,1,3888,489,174,174,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72124,5,72224,5,72324,5,4692,28
4109915,41099,主角+1,3,主角+2,1,15,2,3,-1,3,24,15,2,0,4,1,4201,529,188,188,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72124,5,72224,5,72324,5,5204,30
4109916,41099,主角+2,4,主角,2,16,0,3,-1,3,30,15,2,0,4,1,4546,572,203,203,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72127,8,72227,8,72327,8,6136,32
4109917,41099,主角+2,4,主角,2,17,1,3,-1,3,30,15,2,0,4,1,4891,616,218,218,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72127,8,72227,8,72327,8,8581,34
4109918,41099,主角+2,4,主角,2,18,2,3,-1,3,30,15,2,0,4,1,5236,659,234,234,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72127,8,72227,8,72327,8,11353,36
4109919,41099,主角,4,主角+1,0,19,0,3,-1,4,35,15,2,0,4,1,6741,848,301,301,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72131,14,72231,14,72331,14,14450,38
4109920,41099,主角,4,主角+1,0,20,1,3,-1,4,35,15,2,0,4,1,7305,919,326,326,1,0.06,0.05,0,1.35,0,0.08,1001,1002,1003,1004,1005,-1,72131,14,72231,14,72331,14,17851,40
