id,type,name,heroId,level,num,rewards
100,1,义薄云天,41006|41001,0,15,"10015,1|10004,5|10003,1"
101,1,义薄云天,41006|41001,1,30,"10015,1|10004,5|10003,1"
102,1,义薄云天,41006|41001,2,50,"10015,1|10004,5|10003,1"
103,1,义薄云天,41006|41001,3,80,"10015,1|10004,5|10003,1"
104,1,义薄云天,41006|41001,4,120,"10015,1|10004,5|10003,1"
105,1,义薄云天,41006|41001,5,170,"10015,1|10004,5|10003,1"
106,1,义薄云天,41006|41001,6,230,"10015,1|10004,5|10003,1"
107,1,义薄云天,41006|41001,7,310,"10015,1|10004,5|10003,1"
108,1,义薄云天,41006|41001,8,410,"10015,1|10004,5|10003,1"
109,1,义薄云天,41006|41001,9,530,"10015,1|10004,5|10003,1"
110,1,义薄云天,41006|41001,10,680,"10015,1|10004,5|10003,1"
200,2,金瓶有梅,41030|41026|41023,0,15,"10015,1|10004,5|10003,1"
201,2,金瓶有梅,41030|41026|41023,1,30,"10015,1|10004,5|10003,1"
202,2,金瓶有梅,41030|41026|41023,2,50,"10015,1|10004,5|10003,1"
203,2,金瓶有梅,41030|41026|41023,3,80,"10015,1|10004,5|10003,1"
204,2,金瓶有梅,41030|41026|41023,4,120,"10015,1|10004,5|10003,1"
205,2,金瓶有梅,41030|41026|41023,5,170,"10015,1|10004,5|10003,1"
206,2,金瓶有梅,41030|41026|41023,6,230,"10015,1|10004,5|10003,1"
207,2,金瓶有梅,41030|41026|41023,7,310,"10015,1|10004,5|10003,1"
208,2,金瓶有梅,41030|41026|41023,8,410,"10015,1|10004,5|10003,1"
209,2,金瓶有梅,41030|41026|41023,9,530,"10015,1|10004,5|10003,1"
210,2,金瓶有梅,41030|41026|41023,10,680,"10015,1|10004,5|10003,1"
300,3,阮氏三姝,41010|41020|41009,0,15,"10015,1|10004,5|10003,1"
301,3,阮氏三姝,41010|41020|41009,1,30,"10015,1|10004,5|10003,1"
302,3,阮氏三姝,41010|41020|41009,2,50,"10015,1|10004,5|10003,1"
303,3,阮氏三姝,41010|41020|41009,3,80,"10015,1|10004,5|10003,1"
304,3,阮氏三姝,41010|41020|41009,4,120,"10015,1|10004,5|10003,1"
305,3,阮氏三姝,41010|41020|41009,5,170,"10015,1|10004,5|10003,1"
306,3,阮氏三姝,41010|41020|41009,6,230,"10015,1|10004,5|10003,1"
307,3,阮氏三姝,41010|41020|41009,7,310,"10015,1|10004,5|10003,1"
308,3,阮氏三姝,41010|41020|41009,8,410,"10015,1|10004,5|10003,1"
309,3,阮氏三姝,41010|41020|41009,9,530,"10015,1|10004,5|10003,1"
310,3,阮氏三姝,41010|41020|41009,10,680,"10015,1|10004,5|10003,1"
400,4,浪子佳人,41027|41999,0,15,"10015,1|10004,5|10003,1"
401,4,浪子佳人,41027|41999,1,30,"10015,1|10004,5|10003,1"
402,4,浪子佳人,41027|41999,2,50,"10015,1|10004,5|10003,1"
403,4,浪子佳人,41027|41999,3,80,"10015,1|10004,5|10003,1"
404,4,浪子佳人,41027|41999,4,120,"10015,1|10004,5|10003,1"
