id,id2,hero,type,level,fateHero,value,hpCoe,atkCoe,pddCoe,mddCoe,skill,dec,nextDec,name
41001101,410014100201,41001,1,1,41002,1,0.05,0,0,0,-1,"获得史进,气血+5%",觉醒至绿色 气血+6%,情同手足
41001104,410014100204,41001,1,2,41002,4,0.06,0,0,0,-1,"获得史进,气血+6%",觉醒至绿色+1 气血+8%,情同手足
41001107,410014100207,41001,1,3,41002,7,0.08,0,0,0,-1,"获得史进,气血+8%",觉醒至蓝色 气血+10%,情同手足
41001110,410014100210,41001,1,4,41002,10,0.1,0,0,0,-1,"获得史进,气血+10%",觉醒至蓝色+1 气血+12%,情同手足
41001113,410014100213,41001,1,5,41002,13,0.12,0,0,0,-1,"获得史进,气血+12%",觉醒至蓝色+2 气血+14%,情同手足
41001116,410014100216,41001,1,6,41002,16,0.14,0,0,0,-1,"获得史进,气血+14%",觉醒至紫色 气血+16%,情同手足
41001119,410014100219,41001,1,7,41002,19,0.16,0,0,0,-1,"获得史进,气血+16%",觉醒至紫色+1 气血+18%,情同手足
41001122,410014100222,41001,1,8,41002,22,0.18,0,0,0,-1,"获得史进,气血+18%",觉醒至紫色+2 气血+20%,情同手足
41001125,410014100225,41001,1,9,41002,25,0.2,0,0,0,-1,"获得史进,气血+20%",觉醒至橙色 气血+22%,情同手足
41001128,410014100228,41001,1,10,41002,28,0.22,0,0,0,-1,"获得史进,气血+22%",觉醒至橙色+1 气血+24%,情同手足
41001131,410014100231,41001,1,11,41002,31,0.24,0,0,0,-1,"获得史进,气血+24%",觉醒至橙色+2 气血+26%,情同手足
41001134,410014100234,41001,1,12,41002,34,0.26,0,0,0,-1,"获得史进,气血+26%",觉醒至橙色+3 气血+28%,情同手足
41001137,410014100237,41001,1,13,41002,37,0.28,0,0,0,-1,"获得史进,气血+28%",觉醒至红色 气血+30%,情同手足
41001141,410014100241,41001,1,14,41002,41,0.3,0,0,0,-1,"获得史进,气血+30%",-1,情同手足
41001201,410014100901,41001,2,1,41009,1,0,0.05,0,0,-1,"获得阮小七,攻击+5%",觉醒至绿色 攻击+6%,志同道合
41001204,410014100904,41001,2,2,41009,4,0,0.06,0,0,-1,"获得阮小七,攻击+6%",觉醒至绿色+1 攻击+8%,志同道合
41001207,410014100907,41001,2,3,41009,7,0,0.08,0,0,-1,"获得阮小七,攻击+8%",觉醒至蓝色 攻击+10%,志同道合
41001210,410014100910,41001,2,4,41009,10,0,0.1,0,0,-1,"获得阮小七,攻击+10%",觉醒至蓝色+1 攻击+12%,志同道合
41001213,410014100913,41001,2,5,41009,13,0,0.12,0,0,-1,"获得阮小七,攻击+12%",觉醒至蓝色+2 攻击+14%,志同道合
