id,heroId,name,stars,hp,atk,pdd,mdd,groHp,groAtk,groPdd,groMdd,matId,amount,speed
4109901,41099,主角,1,730,76,27,22,33,5,2,2,-1,-1,4
4109902,41099,主角,2,1459,152,53,43,65,9,3,3,-1,-1,8
4109903,41099,主角,3,4376,456,158,127,110,14,5,4,-1,-1,16
4109904,41099,主角,4,8751,911,316,253,148,19,7,6,-1,-1,24
4109905,41099,主角,5,13856,1443,500,400,206,26,10,8,-1,-1,32
4109906,41099,主角,6,18960,1974,684,547,257,33,12,10,-1,-1,40
4109801,41098,主角,1,730,76,22,27,33,5,2,2,-1,-1,4
4109802,41098,主角,2,1459,152,43,53,65,9,3,3,-1,-1,8
4109803,41098,主角,3,4376,456,127,158,110,14,4,5,-1,-1,16
4109804,41098,主角,4,8751,911,253,316,148,19,6,7,-1,-1,24
4109805,41098,主角,5,13856,1443,400,500,206,26,8,10,-1,-1,32
4109806,41098,主角,6,18960,1974,547,684,257,33,10,12,-1,-1,40
4102901,41029,穆弘,1,924,60,33,33,68,1,3,3,31029,30,4
4102902,41029,穆弘,2,1848,119,65,65,136,2,6,6,31029,60,8
4102903,41029,穆弘,3,5543,356,195,195,230,4,9,9,31029,130,16
4102904,41029,穆弘,4,11085,712,390,390,312,5,12,12,31029,260,24
4102905,41029,穆弘,5,17551,1127,617,617,433,7,17,17,31029,400,32
4102906,41029,穆弘,6,24016,1542,844,844,541,8,21,21,31029,-1,40
4100801,41008,李逵,1,970,63,35,35,77,2,3,3,31008,35,4
4100802,41008,李逵,2,1940,125,69,69,153,4,6,6,31008,70,8
4100803,41008,李逵,3,5820,374,205,205,259,6,10,10,31008,140,16
4100804,41008,李逵,4,11639,748,409,409,350,8,14,14,31008,280,24
4100805,41008,李逵,5,18428,1183,647,647,487,10,19,19,31008,450,32
4100806,41008,李逵,6,25217,1619,886,886,609,13,23,23,31008,-1,40
4101001,41010,阮小二,1,933,60,33,33,70,2,3,3,31010,30,4
4101002,41010,阮小二,2,1866,120,66,66,139,3,6,6,31010,60,8
4101003,41010,阮小二,3,5598,360,197,197,236,4,9,9,31010,130,16
4101004,41010,阮小二,4,11196,719,394,394,319,6,13,13,31010,260,24
4101005,41010,阮小二,5,17726,1138,623,623,444,8,17,17,31010,400,32
4101006,41010,阮小二,6,24257,1558,852,852,555,9,21,21,31010,-1,40
4103001,41030,武大郎,1,878,57,31,31,60,1,3,3,31030,20,4
4103002,41030,武大郎,2,1756,113,62,62,119,1,5,5,31030,55,8
4103003,41030,武大郎,3,5266,338,185,185,202,2,8,8,31030,110,16
4103004,41030,武大郎,4,10531,676,370,370,273,3,11,11,31030,220,24
4103005,41030,武大郎,5,16673,1071,586,586,379,3,15,15,31030,330,32
4103006,41030,武大郎,6,22816,1465,802,802,474,4,19,19,31030,-1,40
4103401,41034,杨雄,1,943,61,34,34,71,2,3,3,31034,30,4
4103402,41034,杨雄,2,1885,121,67,67,142,3,6,6,31034,60,8
4103403,41034,杨雄,3,5653,363,199,199,242,5,10,10,31034,130,16
4103404,41034,杨雄,4,11306,726,397,397,327,6,13,13,31034,260,24
4103405,41034,杨雄,5,17902,1150,629,629,455,8,18,18,31034,400,32
4103406,41034,杨雄,6,24497,1573,861,861,568,10,22,22,31034,-1,40
