id,exp1,exp2,exp3,exp4
1,150,150,150,150
2,200,200,200,200
3,400,500,600,800
4,600,800,1000,1400
5,800,1100,1400,2000
6,1000,1400,1800,2600
7,1200,1700,2200,3200
8,1400,2000,2600,3800
9,1600,2300,3000,4400
10,1800,2600,3400,5000
11,2000,2900,3800,5600
12,2200,3200,4200,6200
13,2400,3500,4600,6800
14,2600,3800,5000,7400
15,2800,4100,5400,8000
16,3000,4400,5800,8600
17,3200,4700,6200,9200
18,3400,5000,6600,9800
19,3600,5300,7000,10400
20,3800,5600,7400,11000
21,4000,5900,7800,11600
22,4200,6200,8200,12200
23,4400,6500,8600,12800
24,4600,6800,9000,13400
25,4800,7100,9400,14000
26,5000,7400,9800,14600
27,5200,7700,10200,15200
28,5400,8000,10600,15800
29,5600,8300,11000,16400
30,5800,8600,11400,17000
31,6000,8900,11800,17600
32,6200,9200,12200,18200
33,6400,9500,12600,18800
34,6600,9800,13000,19400
35,6800,10100,13400,20000
36,7000,10400,13800,20600
37,7200,10700,14200,21200
38,7400,11000,14600,21800
39,7600,11300,15000,22400
