id,fingerPro,win,reward,friendShip,begainAnswer,winAnswer,loseAnswer,dogFallAnswer,goodWill
41029,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50001,51001|50004|50005|50006,52001,53001|53002|53003,10|2|5
41008,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50002,51002|50004|50005|50006,52002,53001|53002|53003,10|2|5
41010,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41030,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50001,51001|50004|50005|50006,52001,53001|53002|53003,10|2|5
41034,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50002,51002|50004|50005|50006,52002,53001|53002|53003,10|2|5
41005,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41007,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50001,51001|50004|50005|50006,52001,53001|53002|53003,10|2|5
41001,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50002,51002|50004|50005|50006,52002,53001|53002|53003,10|2|5
41033,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41032,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50001,51001|50004|50005|50006,52001,53001|53002|53003,10|2|5
41016,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50002,51002|50004|50005|50006,52002,53001|53002|53003,10|2|5
41003,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41004,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50001,51001|50004|50005|50006,52001,53001|53002|53003,10|2|5
41006,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50002,51002|50004|50005|50006,52002,53001|53002|53003,10|2|5
41002,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41009,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50001,51001|50004|50005|50006,52001,53001|53002|53003,10|2|5
41013,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50002,51002|50004|50005|50006,52002,53001|53002|53003,10|2|5
41014,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41017,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41015,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41023,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41026,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41027,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41011,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41020,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41037,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41039,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
41040,"60,20|60,20|60,20|50,20|50,30|40,30|40,30|40,30|40,30|40,30",2|3|4|5|10,"10030,1;11002,500|10030,1;11002,1000|10030,2;11002,1000|10030,2;11002,5000|10030,5;11002,5000",0|1|2|3|5|10,50003,51003|50004|50005|50006,52003,53001|53002|53003,10|2|5
