id,sort,unlockLevel,opening,unlockAnswer,playAnswer,taskAnswer,fingerAnswer,level,extraReward1,extraReward2,giftAnswer,giftAnswer1,giftAnswer2,giftAnswer3,goodGift,ordinaryGift,badGift,heroTips
41029,1,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31001,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10101,10","10102,5|10103,5","10104,2|10105,2",坦克
41008,2,-1,23001|23002|23003|23004|23005|23006|23035|23036|23037,20001,21001,40001|40002,22001,100,0|31002,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10102,10","10103,5|10104,5","10105,2|10101,2",坦克
41010,3,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31006,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10104,10","10105,5|10101,5","10102,2|10103,2",坦克
41030,4,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31007,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",坦克
41034,5,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31009,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10101,10","10102,5|10103,5","10104,2|10105,2",坦克
41005,6,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31010,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10102,10","10103,5|10104,5","10105,2|10101,2",输出坦克
41007,7,-1,23001|23002|23003|23004|23005|23006|23040|23041|23042,20001,21001,40001|40002,22001,100,0|31016,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10104,10","10105,5|10101,5","10102,2|10103,2",输出坦克
41001,8,-1,23001|23002|23003|23004|23005|23006|23007|23008|23009|23010|23011|23012,20001,21001,40001|40002,22001,100,0|31017,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",输出坦克
41033,9,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31020,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10101,10","10102,5|10103,5","10104,2|10105,2",输出坦克
41032,10,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31026,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10102,10","10103,5|10104,5","10105,2|10101,2",输出坦克
41016,11,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31029,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10104,10","10105,5|10101,5","10102,2|10103,2",法术输出
41003,12,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",物理输出
41004,13,-1,23001|23002|23003|23004|23005|23006|23030|23031|23032,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10101,10","10102,5|10103,5","10104,2|10105,2",物理输出
41006,14,-1,23001|23002|23003|23004|23005|23006|23024|23025|23026,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10102,10","10103,5|10104,5","10105,2|10101,2",物理输出
41002,15,-1,23001|23002|23003|23004|23005|23006|23018|23019|23020,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10104,10","10105,5|10101,5","10102,2|10103,2",物理输出
41009,16,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",物理输出
41013,17,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10101,10","10102,5|10103,5","10104,2|10105,2",法术输出
41014,18,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10102,10","10103,5|10104,5","10105,2|10101,2",法术输出
41017,19,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10104,10","10105,5|10101,5","10102,2|10103,2",法术输出
41015,20,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",法术输出
41023,21,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10101,10","10102,5|10103,5","10104,2|10105,2",法术输出
41026,22,-1,23001|23002|23003|23004|23005|23006|23013|23014,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10102,10","10103,5|10104,5","10105,2|10101,2",辅助
41027,23,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10104,10","10105,5|10101,5","10102,2|10103,2",辅助
41011,24,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",物理输出
41020,25,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",物理输出
41037,26,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10101,10","10102,5|10103,5","10104,2|10105,2",法术输出
41039,27,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10102,10","10103,5|10104,5","10105,2|10101,2",法术输出
41040,28,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10104,10","10105,5|10101,5","10102,2|10103,2",物理输出
41041,29,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",物理输出
41042,30,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10101,10","10102,5|10103,5","10104,2|10105,2",辅助
41043,31,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10102,10","10103,5|10104,5","10105,2|10101,2",物理输出
41045,32,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10104,10","10105,5|10101,5","10102,2|10103,2",辅助
41046,33,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",输出坦克
45002,34,-1,23001|23002|23003|23004|23005|23006,20001,21001,40001|40002,22001,100,0|31032,1|31001,30001|30002|30004|30005,32001|32002|32003|32004|32005|32006,31001|31002|31003|31004|31005,33001|33002|33003|33004,"10105,10","10101,5|10102,5","10103,2|10104,2",法术输出
