id,que,r,w,goodWill,rightAnswer,wrongAnswer
1,皇帝从不上早朝（打两字）,卧龙,凤雏,"20,5",46001,47001
2,写上去（打一字）,与,字,"20,5",46001,47001
3,一马离了西凉界（三字口语）,别胡来,走没了,"20,5",46001,47001
4,两个差不多(打一称谓),对象,老表,"20,5",46001,47001
5,远看芝麻撒地，近看黑驴运米，不怕山高道路陡，只怕跌进热锅里（打一动物）,蚂蚁,蝗虫,"20,5",46001,47001
6,借助太阳才发光，围绕地球日夜忙，若是地球遮阳光，娃娃指天问爹娘（打一自然现象）,月食,日食,"20,5",46001,47001
7,悬崖挂块大白帘，千手万脚捉不住，近听千军万马吼，远看银泉飞下谷（打一自然现象）,瀑布,水坝,"20,5",46001,47001
8,圆口在上方，大脸在下方，长着千只眼，一副怪模样（打一农具）,筛子,蒸笼,"20,5",46001,47001
9,一物生得弯，尾巴翘上天，自己不会走，要用鞭子赶（打一农具）,犁,牛,"20,5",46001,47001
10,一只顺风船，白蓬红船头，划起两只桨，湖上四处游（打一动物）,鹅,鸭,"20,5",46001,47001
11,一曲高歌夕阳下。（打一字谜）,曹,名,"20,5",46001,47001
12,两山相对又相连，中有危峰插碧天（打一字谜）,由,田,"20,5",46001,47001
13,雨余山色浑如睡。（打一字谜）,雪,零,"20,5",46001,47001
14,云破月现花影碎。（打一字谜）,能,丝,"20,5",46001,47001
15,一人腰上挂把弓。（打一字谜,夷,张,"20,5",46001,47001
16,一把辛酸泪，写成红楼梦（打一成语）,水落石出,悬梁刺股,"20,5",46001,47001
17,一只凶猛的饿猫，看到老鼠，为何拔腿就跑？,追老鼠,吓到了,"20,5",46001,47001
18,什么人生病从来不看医生?,盲人,小学生,"20,5",46001,47001
19,"有两个人掉到陷阱里了,死的人叫死人,活人叫什么?",救命啊！,活的人,"20,5",46001,47001
20,麒麟到了北极会变成什么？ ,冰淇淋,麒麟冰,"20,5",46001,47001
21,圣诞夜，圣诞老人第一件放进袜子的是什么东西？,自己的脚,礼物,"20,5",46001,47001
22,小明把学生证掉了，他该怎么办？,捡起来,补办一个,"20,5",46001,47001
23,为什么关羽比张飞死的早？,红颜薄命,运气不好,"20,5",46001,47001
24,冰变成水最快的方法是什么?,去掉两点,加热,"20,5",46001,47001
25,动物园中，大象鼻子最长，鼻子第二长的是什么？,小象,马来貘,"20,5",46001,47001
26,早晨醒来，每个人都会去做的第一件事是什么？,睁开眼睛,起床,"20,5",46001,47001
27,一张方桌据掉一个角，还有几个角？,5个角,3个角,"20,5",46001,47001
28,最不听话的人是谁？,聋人,小孩,"20,5",46001,47001
29,什么人是不用电的？,缅甸人,野人,"20,5",46001,47001
30,鸡犬不宁的“犬”字去掉一点是什么字？,人,大,"20,5",46001,47001
31,小白很像他哥哥，为什么？,真相大白,双胞胎,"20,5",46001,47001
32,鱼缸里有十条鱼死掉了一条问还有几条？,10条,9条,"20,5",46001,47001
