id,answer,
10001,少侠您来啦，这可是寻闲会友的好地方啊！,老板娘对白
10002,少侠，请在拜访列表中选择想要拜访的英雄吧！,老板娘对白
10003,角色好感等级较高后，探宝或猜拳时有机率获得英雄碎片,老板娘对白
10004,选择拜访陌生的角色可以查看解锁条件！,老板娘对白
10005,少侠，请在拜访列表中选择想要拜访的英雄吧！,老板娘对白
10006,少侠您来啦，这可是寻闲会友的好地方啊！,老板娘对白
10007,少侠，请在拜访列表中选择想要拜访的英雄吧！,老板娘对白
10008,角色好感等级较高后，探宝或猜拳时有机率获得英雄碎片,老板娘对白
10009,选择拜访陌生的角色可以查看解锁条件！,老板娘对白
10010,少侠，请在拜访列表中选择想要拜访的英雄吧！,老板娘对白
20001,招募我成为伙伴，就能在情缘中结识我哦！,通用解锁
21001,小弟今日有些累了，我们改日再约~,探宝次数不足
21002,预留,探宝次数不足
21003,预留,探宝次数不足
21004,预留,探宝次数不足
21005,预留,探宝次数不足
21006,预留,探宝次数不足
21007,预留,探宝次数不足
21008,预留,探宝次数不足
21009,预留,探宝次数不足
21010,预留,探宝次数不足
22001,哥哥的猜拳功夫十分了得，待我休息片刻，再与哥哥来过！,猜拳次数不足
22002,预留,猜拳次数不足
22003,预留,猜拳次数不足
22004,预留,猜拳次数不足
22005,预留,猜拳次数不足
22006,预留,猜拳次数不足
22007,预留,猜拳次数不足
22008,预留,猜拳次数不足
22009,预留,猜拳次数不足
22010,预留,猜拳次数不足
23001,有缘千里来相会，无缘对面不相逢,通用开场白
23002,难得来看我，不多待会么~,通用开场白
23003,好久不见，哥哥又变帅啦！,通用开场白
23004,像我这么帅的在其他游戏可是主角哦~,通用开场白
23005,我想静静~,通用开场白
23006,我们是不是在哪里见过，嗯，是哪里呢。。。,通用开场白
23007,酒肉穿肠过，佛祖心中留,鲁智深开场白
23008,想跟我学倒拔垂杨柳么，现在来学打折哟~~,鲁智深开场白
23009,俺的禅杖已经饥渴难耐了,鲁智深开场白
23010,打死镇关西只用了三拳，请叫我“鲁三拳”！,鲁智深开场白
23011,洒家怎么会喝醉，嗝。。。,鲁智深开场白
23012,“三碗不过岗”也不过如此嘛！,鲁智深开场白
23013,我金莲最喜欢对那些自认为有能力的人出手~,潘金莲开场白
23014,哥哥来了就别走了嘛~,潘金莲开场白
23015,预留,潘金莲开场白
23016,预留,潘金莲开场白
23017,预留,潘金莲开场白
23018,看到我的刺青，就问你怕没！,史进开场白
23019,富二代也不好混啊，舆论压力好大,史进开场白
23020,我其实不喜欢舞枪弄棒,史进开场白
23021,预留,史进开场白
23022,预留,史进开场白
23023,预留,史进开场白
23024,别忘了我们的暗号“今晚打老虎”,武松开场白
23025,酒，酒，八十一··好酒！,武松开场白
23026,喝醉了才能打老虎,武松开场白
23027,预留,武松开场白
23028,预留,武松开场白
23029,预留,武松开场白
23030,我当年可是授徒八十万的男人,林冲开场白
23031,高俅这个混蛋，我与他不共戴天,林冲开场白
23032,长枪依在~,林冲开场白
23033,预留,林冲开场白
23034,预留,林冲开场白
23035,我的两把板斧，老虎见了都怕！,李逵开场白
23036,我的板斧可不是用来砍柴的,李逵开场白
23037,招安什么的最讨厌了！,李逵开场白
23038,预留,李逵开场白
23039,预留,李逵开场白
23040,别问我在哪里染得头发，这可是天生的。,刘唐开场白
23041,谁说我带的假发，站出来！,刘唐开场白
23042,劫了生辰纲，做个富一代~,刘唐开场白
23043,预留,刘唐开场白
23044,预留,刘唐开场白
30001,有什么东西要送给俺？,送礼开始
30002,送啥我都喜欢！,送礼开始
30003,礼多人不怪，嘿嘿~~,送礼开始
30004,今天是我的生日么！,送礼开始
30005,哥哥常来就行还送什么礼啊！,送礼开始
30006,预留,送礼开始
30007,预留,送礼开始
30008,预留,送礼开始
30009,预留,送礼开始
30010,预留,送礼开始
31001,这个不错~,一般礼物对白
31002,那就不客气了,一般礼物对白
31003,还可以~,一般礼物对白
31004,这个不错~,一般礼物对白
31005,一般般啦！,一般礼物对白
31006,预留,一般礼物对白
31007,预留,一般礼物对白
31008,预留,一般礼物对白
31009,预留,一般礼物对白
31010,预留,一般礼物对白
32001,这东西我想要好久了！,好礼对白
32002,呵呵~不错啊，有品位！,好礼对白
32003,哥哥真大方啊！,好礼对白
32004,让我眼前一亮！,好礼对白
32005,哥哥真土豪，钱多任性~,好礼对白
32006,哎呦，不错哦~,好礼对白
32007,预留,好礼对白
32008,预留,好礼对白
32009,预留,好礼对白
33001,唬弄我呐,差礼物对白
33002,我可不是随便的人,差礼物对白
33003,这个是啥，能吃么？,差礼物对白
33004,看来哥哥还是不懂我啊！,差礼物对白
33005,预留,差礼物对白
33006,预留,差礼物对白
33007,预留,差礼物对白
33008,预留,差礼物对白
33009,预留,差礼物对白
33010,预留,差礼物对白
40001,探宝可是门技术活，关键就是靠运气！,进入探宝
40002,探宝我很擅长，哥哥何不与我同去！,进入探宝
40003,预留,进入探宝
40004,预留,进入探宝
40005,预留,进入探宝
40006,预留,进入探宝
40007,预留,进入探宝
40008,预留,进入探宝
40009,预留,进入探宝
40010,预留,进入探宝
41001,探宝地图中有不少陷阱，哥哥要尽量避开。,进入探宝地图
41002,探宝地图中有不少宝藏，可以获得额外奖励。,进入探宝地图
41003,哥哥探宝步数有限，要谨慎探索哦！,进入探宝地图
41004,预留,进入探宝地图
41005,预留,进入探宝地图
41006,预留,进入探宝地图
41007,预留,进入探宝地图
41008,预留,进入探宝地图
41009,预留,进入探宝地图
41010,预留,进入探宝地图
42001,这次探宝真是收益颇多，下次哥哥一定还要邀我同去！,探宝成功
42002,哥哥果然聪慧过人，在下实在是佩服的紧！,探宝成功
42003,哥哥的探宝技术果然厉害，不知是在哪里学的？,探宝成功
42004,预留,探宝成功
42005,预留,探宝成功
42006,预留,探宝成功
42007,预留,探宝成功
42008,预留,探宝成功
42009,预留,探宝成功
42010,预留,探宝成功
43001,哥哥运气不好，还是改日再来吧。,探宝失败
43002,时候不早了，哥哥我们该回去了,探宝失败
43003,预留,探宝失败
43004,预留,探宝失败
43005,预留,探宝失败
43006,预留,探宝失败
43007,预留,探宝失败
43008,预留,探宝失败
43009,预留,探宝失败
43010,预留,探宝失败
50001,猜拳我就没输过！,猜拳开始
50002,猜拳狂魔就是我，不服来猜！,猜拳开始
50003,听闻哥哥猜拳功夫十分了得，我倒是想见识见识！,猜拳开始
50004,猜拳出“石头”总没错！不信你试试！,猜拳开始
50005,猜拳出“剪刀”总没错！不信你试试！,猜拳开始
50006,猜拳出“布”总没错！不信你试试！,猜拳开始
50007,我的运气一向很好~,猜拳开始
50008,猜拳也是一门技术~,猜拳开始
50009,该出手时就出手，风风火火猜完走！,猜拳开始
50010,猜拳我敢当第二，没人敢当第一，你说呢。,猜拳开始
50011,预留,猜拳开始
50012,预留,猜拳开始
50013,预留,猜拳开始
50001,预留,猜拳开始
50002,预留,猜拳开始
51001,意外，这只是意外！,猜拳赢
51002,下次我不会再放水了！,猜拳赢
51003,这次输了，但是下次一定让你尝到厉害！,猜拳赢
51004,虽然输了，但是交到你这个朋友也算是值了！,猜拳赢
51005,就这样。。被终结了。。。,猜拳赢
51006,预留,猜拳赢
51007,预留,猜拳赢
51008,预留,猜拳赢
51009,预留,猜拳赢
51010,预留,猜拳赢
51011,预留,猜拳赢
51012,预留,猜拳赢
51013,预留,猜拳赢
51014,预留,猜拳赢
51015,预留,猜拳赢
52001,想输都难啊！,猜拳输
52002,呵呵，赢是理所应当!,猜拳输
52003,输给我也是你的荣幸！,猜拳输
52004,哈哈，运气真好这也能赢！,猜拳输
52005,风水轮流转，说不定下次你就会赢。,猜拳输
52006,要不要拜师，给你打个折。,猜拳输
52007,预留,猜拳输
52008,预留,猜拳输
52009,预留,猜拳输
52010,预留,猜拳输
52011,预留,猜拳输
52012,预留,猜拳输
52013,预留,猜拳输
52014,预留,猜拳输
52015,预留,猜拳输
53001,看来是实力相当的对手！,猜拳平
53002,能和我打平也是一种能力。,猜拳平
53003,看来不能再保留实力了！,猜拳平
53004,预留,猜拳平
53005,预留,猜拳平
53006,预留,猜拳平
53007,预留,猜拳平
53008,预留,猜拳平
53009,预留,猜拳平
53010,预留,猜拳平
