id,name,lvl,qua,advLvl,mark,jobType,sexTyp,hp,atk,pdd,mdd,hit,miss,criPrb,criRes,criCoe,coeRes,resID,boss,tagTyp,atkTyp,atkID,a_sklID,p1_sklID,p2_sklID,p3_sklID,d_sklID,ctrPrb,speed,,
110011,Ç¹±ø,1,1,1,0,4,0,682,181,73,73,1,0,0.02,0,1.2,0,43016,1,4,1,71001,72001,-1,-1,-1,-1,0,2,,
110012,µ¶±ø,1,1,1,0,2,0,682,181,73,73,1,0,0.02,0,1.2,0,42002,1,4,2,71002,-1,73002,-1,-1,-1,0.1,2,,
110013,²¼ÒÂ,1,1,1,0,3,0,682,181,73,73,1,0,0.02,0,1.2,0,42004,1,4,2,71004,-1,73004,-1,-1,-1,0.1,2,,
110021,´øµ¶¼Ò¶¡,2,1,2,0,2,0,839,223,99,99,1,0,0.02,0,1.2,0,42005,1,4,1,71005,-1,73005,-1,-1,-1,0.1,3,,
110022,Í­ÈËºÍÉÐ,2,1,2,0,1,0,839,223,99,99,1,0,0.02,0,1.2,0,42007,1,4,1,71007,-1,73007,-1,-1,-1,0.1,3,,
110023,ºÍÉÐ,2,1,2,0,1,0,839,223,99,99,1,0,0.02,0,1.2,0,42006,1,4,2,71006,-1,73006,-1,-1,-1,0.1,3,,
110031,Í­ÈËºÍÉÐ1,3,1,2,0,0,0,860,228,102,102,1,0,0.02,0,1.2,0,42018,1,4,2,71007,-1,73007,-1,-1,-1,0,3,,
110032,Í­ÈËºÍÉÐ,3,1,2,0,1,0,860,228,102,102,1,0,0.02,0,1.2,0,42007,1,4,1,71007,-1,73007,-1,-1,-1,0.1,3,,
110033,Í­ÈËºÍÉÐ1,3,1,2,0,0,0,860,228,102,102,1,0,0.02,0,1.2,0,42018,1,4,2,71007,-1,73007,-1,-1,-1,0,3,,
110041,µ¶±ø,4,1,3,0,2,0,1019,270,127,127,1,0,0.02,0,1.2,0,42002,1,4,2,71002,-1,73002,-1,-1,-1,0.1,4,,
110042,¿ø¼×µ¶±ø,4,1,3,0,4,0,1019,270,127,127,1,0,0.02,0,1.2,0,42003,1,3,1,71003,-1,73003,-1,-1,-1,0.1,4,,
110043,²¼ÒÂ,4,1,3,0,3,0,1019,270,127,127,1,0,0.02,0,1.2,0,42004,1,1,2,71004,-1,73004,-1,-1,-1,0.1,4,,
110051,Í­ÈËºÍÉÐ,5,1,4,0,1,0,1312,346,174,174,1,0,0.02,0,1.2,0,42007,1,1,1,71007,-1,73007,-1,-1,-1,0.1,5,,
110052,¿ø¼×µ¶±ø,5,1,4,0,4,0,1312,346,174,174,1,0,0.02,0,1.2,0,42003,1,3,1,71003,-1,73003,-1,-1,-1,0.1,5,,
110053,²¼ÒÂ,5,1,4,0,3,0,1312,346,174,174,1,0,0.02,0,1.2,0,42004,1,1,2,71004,-1,73004,-1,-1,-1,0.1,5,,
110061,Í­ÈËºÍÉÐ1,6,1,4,0,0,0,1756,461,232,232,1,0,0.02,0,1.2,0,42018,1,1,2,71007,-1,73007,-1,-1,-1,0,6,,
110062,°ô±ø,6,1,4,0,4,0,1756,461,232,232,1,0,0.02,0,1.2,0,42008,1,2,2,71008,-1,73008,-1,-1,-1,0.1,6,,
110063,°ô±ø,6,1,4,0,4,0,1756,461,232,232,1,0,0.02,0,1.2,0,42008,1,2,2,71008,-1,73008,-1,-1,-1,0.1,6,,
110071,Í­ÈËºÍÉÐ,7,1,4,0,1,0,1804,473,239,239,1,0,0.02,0,1.2,0,42007,1,1,1,71007,-1,73007,-1,-1,-1,0.1,6,,
110072,ÎïÃâÍ­ÈËºÍÉÐ,7,1,4,0,2,0,1804,473,239,239,1,0,0.02,0,1.2,0,42007,1,1,1,71007,-1,73007,-1,75007,-1,0.1,6,,
110073,´øµ¶¼Ò¶¡,7,1,4,0,2,0,1804,473,239,239,1,0,0.02,0,1.2,0,42005,1,2,1,71005,-1,73005,-1,-1,-1,0.1,6,,
110081,Í­ÈËºÍÉÐ1,8,1,5,0,0,0,2005,526,272,272,1,0,0.02,0,1.2,0,42018,1,1,2,71007,-1,73007,-1,-1,-1,0,7,,
