id,actTyp,labName,labShow,actOpen,show,refTyp,amount1,amount2,price,actInfo,item,skip
11001,1,主角等级,1,1,1,2,5,-1,-1,主角等级达到5级,11001;20|10010;5|10011;3,-1
11002,1,主角等级,1,1,1,2,10,-1,-1,主角等级达到10级,31002;5|10010;10|10011;5,-1
11003,1,主角等级,1,1,1,2,15,-1,-1,主角等级达到15级,11001;30|10010;10|10011;10,-1
11004,1,主角等级,1,1,1,2,20,-1,-1,主角等级达到20级,31002;10|10010;15|10012;5,-1
11005,1,主角等级,1,1,1,2,25,-1,-1,主角等级达到25级,11001;50|10010;15|10012;8,-1
11006,1,主角等级,1,1,1,2,30,-1,-1,主角等级达到30级,31002;15|10010;20|10012;10,-1
11007,1,主角等级,1,1,1,2,35,-1,-1,主角等级达到35级,11001;80|10010;25|10013;3,-1
11008,1,主角等级,1,1,1,2,40,-1,-1,主角等级达到40级,11001;100|10010;30|10013;5,-1
12001,1,征战关卡,2,1,1,5,102009,-1,-1,通关冒险关卡第二章第9关,11002;10000|10057;2,1
12002,1,征战关卡,2,1,1,5,104009,-1,-1,通关冒险关卡第四章第9关,11002;15000|10057;3,1
12003,1,征战关卡,2,1,1,5,106009,-1,-1,通关冒险关卡第六章第9关,11002;20000|10057;5,1
12004,1,征战关卡,2,1,1,5,108009,-1,-1,通关冒险关卡第八章第9关,11002;25000|10058;5,1
12005,1,征战关卡,2,1,1,5,110009,-1,-1,通关冒险关卡第十章第9关,11002;30000|10058;8,1
12006,1,征战关卡,2,1,1,5,111009,-1,-1,通关冒险关卡第十一章第9关,11002;30000|10058;10,1
12007,1,征战关卡,2,1,1,5,112009,-1,-1,通关冒险关卡第十二章第9关,11002;40000|10059;10,1
12008,1,征战关卡,2,1,1,5,113009,-1,-1,通关冒险关卡第十三章第9关,11002;50000|10059;10,1
13001,1,精英关卡,3,1,1,5,103012,-1,-1,通关冒险关卡第三章第12关,11001;10|10061;2,1
13002,1,精英关卡,3,1,1,5,104012,-1,-1,通关冒险关卡第四章第12关,11001;10|10061;2,1
13003,1,精英关卡,3,1,1,5,105012,-1,-1,通关冒险关卡第五章第12关,11001;15|10061;3,1
13004,1,精英关卡,3,1,1,5,106012,-1,-1,通关冒险关卡第六章第12关,11001;15|10062;2,1
13005,1,精英关卡,3,1,1,5,107012,-1,-1,通关冒险关卡第七章第12关,11001;20|10062;2,1
13006,1,精英关卡,3,1,1,5,108012,-1,-1,通关冒险关卡第八章第12关,11001;20|10062;3,1
13007,1,精英关卡,3,1,1,5,109012,-1,-1,通关冒险关卡第九章第12关,11001;30|10063;2,1
13008,1,精英关卡,3,1,1,5,110012,-1,-1,通关冒险关卡第十章第12关,11001;30|10063;3,1
14001,1,特价抢购,4,1,1,4,10001;10,773,480|200,-1,-1,15
21001,1,英雄觉醒,1,1,2,24,5,4,-1,拥有5个绿色品质的英雄,11001;30|10057;5,2
21002,1,英雄觉醒,1,1,2,24,5,7,-1,拥有5个绿色+1品质的英雄,11001;30|10058;3,2
21003,1,英雄觉醒,1,1,2,24,5,10,-1,拥有5个蓝色品质的英雄,11001;40|10058;5,2
21004,1,英雄觉醒,1,1,2,24,5,13,-1,拥有5个蓝色+1品质的英雄,11001;40|10058;10,2
21005,1,英雄觉醒,1,1,2,24,5,16,-1,拥有5个蓝色+2品质的英雄,11001;50|10059;3,2
21006,1,英雄觉醒,1,1,2,24,5,19,-1,拥有5个紫色品质的英雄,11001;50|10059;5,2
21007,1,英雄觉醒,1,1,2,24,6,19,-1,拥有6个紫色品质的英雄,11001;80|10059;10,2
22001,1,装备培养,2,1,2,10,12,2|0,-1,拥有12件绿色品质的装备,10045;2|10048;2|11002;10000,2
22002,1,装备培养,2,1,2,10,12,2|1,-1,拥有12件绿色+1品质的装备,10045;2|10048;2|11002;15000,2
22003,1,装备培养,2,1,2,10,12,2|2,-1,拥有12件绿色+2品质的装备,10045;3|10048;3|11002;20000,2
22004,1,装备培养,2,1,2,10,12,3|0,-1,拥有12件蓝色品质的装备,10046;2|10049;2|11002;30000,2
22005,1,装备培养,2,1,2,10,12,3|1,-1,拥有12件蓝色+1品质的装备,10046;3|10049;3|11002;40000,2
22006,1,装备培养,2,1,2,10,12,3|2,-1,拥有12件蓝色+2品质的装备,10047;1|10047;1|11002;50000,2
22007,1,装备培养,2,1,2,10,12,3|3,-1,拥有12件蓝色+3品质的装备,73000;1|10047;2|10050;2,2
23001,1,伙伴成群,3,1,2,26,5,-1,-1,成功招募5个伙伴,11001;30|10012;5,9
23002,1,伙伴成群,3,1,2,26,8,-1,-1,成功招募8个伙伴,11001;50|10012;5,9
23003,1,伙伴成群,3,1,2,26,10,-1,-1,成功招募10个伙伴,10015;1|10012;10,9
23004,1,伙伴成群,3,1,2,26,13,-1,-1,成功招募13个伙伴,11001;100|10012;10,9
23005,1,伙伴成群,3,1,2,26,15,-1,-1,成功招募15个伙伴,10015;2|10013;5,9
24001,1,特价抢购,4,2,2,4,73000;2,568,700|230,-1,-1,15
31001,1,竞技挑战,1,3,3,23,3,-1,-1,竞技场累计挑战3次,11002;5000|11003;60,3
31002,1,竞技挑战,1,3,3,23,5,-1,-1,竞技场累计挑战5次,11002;10000|11003;80,3
31003,1,竞技挑战,1,3,3,23,10,-1,-1,竞技场累计挑战10次,10052;1|11003;120,3
31004,1,竞技挑战,1,3,3,23,20,-1,-1,竞技场累计挑战20次,10051;1|11003;120,3
31005,1,竞技挑战,1,3,3,23,30,-1,-1,竞技场累计挑战30次,10052;1|11003;160,3
31006,1,竞技挑战,1,3,3,23,40,-1,-1,竞技场累计挑战40次,10051;1|11003;160,3
31007,1,竞技挑战,1,3,3,23,50,-1,-1,竞技场累计挑战50次,10052;2|11003;200,3
31008,1,竞技挑战,1,3,3,23,60,-1,-1,竞技场累计挑战60次,10051;2|11003;300,3
32001,1,巅峰对决,2,1,3,8,3000,-1,-1,竞技场最高排名达到第3000名,10052;1|11003;100,3
32002,1,巅峰对决,2,1,3,8,2000,-1,-1,竞技场最高排名达到第2000名,10056;1|11003;100,3
32003,1,巅峰对决,2,1,3,8,1000,-1,-1,竞技场最高排名达到第1000名,11001;100|11003;200,3
