id,module,costTyp,minLevel,maxLevel,pos,itemList,pro,refresh,buyLimit,gangShop
10001,1,1,1,999,1,"73000,1,10",100,-1,-1,-1
10002,1,1,1,999,2,"73020,1,50",100,-1,-1,-1
10003,1,1,1,999,3,"73021,1,50",100,-1,-1,-1
10004,1,1,1,999,4,"73024,1,50",100,-1,-1,-1
10005,1,1,1,999,5,"73013,1,220",100,-1,-1,-1
10006,1,1,1,999,6,"73015,1,220",100,-1,-1,-1
10007,1,1,1,999,7,"73018,1,220",100,-1,-1,-1
10008,1,1,1,999,8,"73025,1,220",100,-1,-1,-1
10009,1,1,1,999,9,"73027,1,220",100,-1,-1,-1
10010,1,1,1,999,10,"73030,1,220",100,-1,-1,-1
10011,1,1,1,999,11,"73034,1,220",100,-1,-1,-1
10012,1,1,1,999,12,"73042,1,220",100,-1,-1,-1
10013,1,1,1,999,13,"73045,1,220",100,-1,-1,-1
10014,1,1,1,999,14,"73047,1,220",100,-1,-1,-1
10015,1,1,1,999,15,"73035,1,275",100,-1,-1,-1
10016,1,1,1,999,16,"73036,1,275",100,-1,-1,-1
10017,1,1,1,999,17,"73037,1,275",100,-1,-1,-1
10018,1,1,1,999,18,"73038,1,275",100,-1,-1,-1
20001,2,2,1,999,1,"10101,1,20",100,-1,-1,-1
20002,2,2,1,999,2,"10102,1,20",100,-1,-1,-1
20003,2,2,1,999,3,"10103,1,20",100,-1,-1,-1
20004,2,2,1,999,4,"10104,1,20",100,-1,-1,-1
20005,2,2,1,999,5,"10105,1,20",100,-1,-1,-1
30001,3,2,1,35,1,"31030,2,200|31037,2,200|31032,2,200","33,33,34",1,1,-1
30002,3,2,1,35,2,"31011,2,200|31026,2,200|31039,2,200","33,33,34",1,1,-1
30003,3,3,1,35,3,"72111,1,1500|72114,1,8000|72121,1,8000|72124,1,8000|72127,1,8000","20,20,20,20,20",1,1,-1
30004,3,3,1,35,4,"10101,1,2500|10102,1,2500|10103,1,2500|10104,1,2500|10105,1,2500|10030,1,2500","16,16,16,16,16,17",1,1,-1
30005,3,3,1,35,5,"72211,1,1500|72214,1,8000|72221,1,8000|72224,1,8000|72227,1,8000","20,20,20,20,20",1,1,-1
30006,3,3,1,35,6,"10011,5,4000|10013,5,24000","80,20",1,1,-1
30007,3,3,1,35,7,"72311,1,1500|72314,1,8000|72321,1,8000|72224,1,8000|72227,1,8000","20,20,20,20,20",1,1,-1
30008,3,3,1,35,8,"10012,5,8000|10014,5,80000","80,20",1,1,-1
30009,3,2,36,48,1,"31030,2,200|31037,2,200|31032,2,200","33,33,34",1,1,-1
30010,3,2,36,48,2,"31011,2,200|31026,2,200|31039,2,200","33,33,34",1,1,-1
30011,3,3,36,48,3,"72121,1,8000|72124,1,8000|72127,1,8000|72131,1,10000|72134,1,10000|72137,1,10000","16,16,16,16,16,17",1,1,-1
30012,3,3,36,48,4,"10101,1,2500|10102,1,2500|10103,1,2500|10104,1,2500|10105,1,2500|10030,1,2500","16,16,16,16,16,17",1,1,-1
30013,3,3,36,48,5,"72221,1,8000|72224,1,8000|72227,1,8000|72231,1,10000|72234,1,10000|72237,1,10000","16,16,16,16,16,17",1,1,-1
30014,3,3,36,48,6,"10011,5,4000|10013,5,24000","80,20",1,1,-1
30015,3,3,36,48,7,"72321,1,8000|72224,1,8000|72227,1,8000|72331,1,10000|72234,1,10000|72237,1,10000","16,16,16,16,16,17",1,1,-1
30016,3,3,36,48,8,"10012,5,8000|10014,5,80000","80,20",1,1,-1
30017,3,2,49,59,1,"31030,2,200|31037,2,200|31032,2,200","33,33,34",1,1,-1
30018,3,2,49,59,2,"31011,2,200|31026,2,200|31039,2,200","33,33,34",1,1,-1
30019,3,3,49,59,3,"72131,1,10000|72134,1,10000|72137,1,10000|72141,1,14000|72144,1,14000|72147,1,14000","16,16,16,16,16,17",1,1,-1
30020,3,3,49,59,4,"10101,1,2500|10102,1,2500|10103,1,2500|10104,1,2500|10105,1,2500|10030,1,2500","16,16,16,16,16,17",1,1,-1
30021,3,3,49,59,5,"72231,1,10000|72234,1,10000|72237,1,10000|72241,1,14000|72244,1,14000|72247,1,14000","16,16,16,16,16,17",1,1,-1
30022,3,3,49,59,6,"10011,5,4000|10013,5,24000","80,20",1,1,-1
30023,3,3,49,59,7,"72331,1,10000|72234,1,10000|72237,1,10000|72341,1,14000|72244,1,14000|72247,1,14000","16,16,16,16,16,17",1,1,-1
30024,3,3,49,59,8,"10012,5,8000|10014,5,80000","80,20",1,1,-1
30025,3,2,60,80,1,"31030,2,200|31037,2,200|31032,2,200","33,33,34",1,1,-1
30026,3,2,60,80,2,"31011,2,200|31026,2,200|31039,2,200","33,33,34",1,1,-1
30027,3,3,60,80,3,"72141,1,14000|72144,1,14000|72147,1,14000|72150,1,14000","25,25,25,25",1,1,-1
30028,3,3,60,80,4,"10101,1,2500|10102,1,2500|10103,1,2500|10104,1,2500|10105,1,2500|10030,1,2500","16,16,16,16,16,17",1,1,-1
30029,3,3,60,80,5,"72241,1,14000|72244,1,14000|72247,1,14000|72250,1,14000","25,25,25,25",1,1,-1
30030,3,3,60,80,6,"10011,5,4000|10013,5,24000","80,20",1,1,-1
30031,3,3,60,80,7,"72341,1,14000|72244,1,14000|72247,1,14000|72250,1,14000","25,25,25,25",1,1,-1
30032,3,3,60,80,8,"10012,5,8000|10014,5,80000","80,20",1,1,-1
40001,4,4,1,80,1,"31005,5,2500",100,1,1,-1
40002,4,4,1,80,2,"31002,5,1500",100,1,1,-1
40003,4,4,1,80,3,"31039,5,1500",100,1,1,-1
40004,4,4,1,80,4,"31034,5,1500",100,1,1,-1
40005,4,4,1,80,5,"10008,10,600",100,1,1,-1
40006,4,4,1,80,6,"10047,1,1200",100,1,1,-1
40007,4,4,1,80,7,"10046,1,600",100,1,1,-1
40008,4,4,1,80,8,"10045,1,60",100,1,1,-1
50001,5,5,1,80,1,"31001,5,2500",100,1,1,-1
50002,5,5,1,80,2,"31045,5,2500",100,1,1,-1
50003,5,5,1,80,3,"31016,5,2500",100,1,1,-1
50004,5,5,1,80,4,"31011,5,1500",100,1,1,-1
50005,5,5,1,80,5,"10011,5,1500",100,1,1,-1
50006,5,5,1,80,6,"10050,1,1200",100,1,1,-1
50007,5,5,1,80,7,"10049,1,600",100,1,1,-1
50008,5,5,1,80,8,"10048,1,60",100,1,1,-1
60001,6,6,1,35,1,"31042,5,3500",100,1,1,1
60002,6,6,1,35,2,"31040,5,2500",100,1,1,1
60003,6,6,1,35,3,"31017,5,2500",100,1,1,1
60004,6,6,1,35,4,"31011,5,2500",100,1,1,1
60005,6,6,1,35,5,"72111,1,50|72114,1,250|72121,1,250|72124,1,250|72127,1,250","20,20,20,20,20",1,1,1
60006,6,6,1,35,6,"10008,10,600",100,1,1,1
60007,6,6,1,35,7,"72211,1,50|72214,1,250|72221,1,250|72224,1,250|72227,1,250","20,20,20,20,20",1,1,1
60008,6,6,1,35,8,"10014,5,2500",100,1,1,1
60009,6,6,1,35,9,"72311,1,50|72314,1,250|72321,1,250|72224,1,250|72227,1,250","20,20,20,20,20",1,1,1
