id,type,itemID,sort,page
10001,1,10011,1,1
10002,1,10012,2,1
10003,1,10101,3,1
10004,1,10102,4,1
10005,1,10103,5,1
10006,1,10104,6,1
10007,1,10105,7,1
10008,1,10030,8,1
10009,1,10010,9,1
10010,1,10045,10,1
10011,1,10048,11,1
10012,1,31005,12,2
10013,1,31015,13,2
10014,1,31034,14,2
10015,1,31037,15,2
10016,1,31033,16,2
10017,1,31032,17,2
10018,1,31020,18,2
10019,1,31023,19,2
10020,1,31002,20,2
10021,1,31011,21,2
10022,1,31026,22,2
10023,1,31039,23,2
10024,1,31010,24,2
10025,1,31001,25,2
10026,1,31029,26,2
10027,1,31007,27,2
10028,1,31006,28,2
10029,1,31027,29,2
10030,1,31008,30,2
10031,1,31014,31,2
20001,2,41001,1,3
20002,2,41014,2,3
20003,2,41010,3,3
20004,2,41034,4,3
20005,2,41037,5,3
20006,2,41033,6,3
20007,2,41032,7,3
20008,2,41020,8,3
20009,2,41023,9,3
20010,2,41011,10,3
20011,2,41039,11,3
20012,2,41029,12,3
20013,2,41007,13,3
20014,2,41006,14,3
20015,2,41027,15,3
20016,2,41008,16,3
,,,,
,,,,
,,,,
