id,name,disTyp,distance,preTagTyp,preTyp,preOrdTyp,actTyp,moveTyp,aniId,preResId,preAni,actResId,actAni
61097,主角普攻,3,230,1,3,5,2,2,atk,11991,atkeffe,19001,shoujiPT
61997,主角3普攻造成火,1,-1,1,3,2,2,3,atks1,11992,atks1effe,19001,shoujiPT
61098,主角普攻,3,230,1,3,5,2,2,atk,11991,atkeffe,19001,shoujiPT
61998,主角3普攻造成风,3,200,1,3,5,2,2,atks2,11993,atks2effe,19001,shoujiPT
61099,主普攻单次,3,230,1,3,5,2,2,atk,11991,atkeffe,19001,shoujiPT
61999,主普攻6次,3,200,1,3,5,2,2,atks3,11994,atks3effe,19001,shoujiPT
62097,主角60%随机伤害2个,3,250,1,3,5,2,1,manuSkl1,11995,manuskl1effe,19001,shoujiPT
62098,主角全屏攻击并造成雷,2,500,1,3,5,2,3,manuSkl2,11996,manuskl2effe,19001,shoujiPT
62099,主角单体攻击给自己加盾,3,230,1,3,5,2,2,manuSkl3,11997,manuskl3effe,19001,shoujiPT
63097,主角冲锋追火造成雷,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
63098,主角冲锋追雷造成风,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
63099,主角跳追风造成火,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64097,主角状态技攻击几率获得吸血BUFF,3,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
64098,主角状态技2攻击增加自身法防,3,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
64099,主角状态技3攻击几率使敌方中毒,3,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65097,主角击杀后进行连续攻击,3,230,1,3,5,2,2,atk,11991,atkeffe,19001,shoujiPT
65098,主角每回合进行一次普攻,3,230,1,3,5,2,2,atk,11991,atkeffe,19001,shoujiPT
65099,主角combo达到后攻击,3,230,1,3,5,2,2,atk,11991,atkeffe,19001,shoujiPT
61087,女主普攻1,1,-1,1,3,2,2,3,atk,11981,atkeffe,19001,shoujiPT
61987,女主多攻1,1,-1,1,3,2,2,3,atks1,11982,atks1effe,19001,shoujiPT
61088,女主普攻2,1,-1,1,3,2,2,3,atk,11981,atkeffe,19001,shoujiPT
61988,女主多攻2,1,-1,1,3,2,2,3,atks3,11984,atks3effe,19001,shoujiPT
61089,女主普攻3,1,-1,1,3,2,2,3,atk,11981,atkeffe,19001,shoujiPT
61989,女主多攻3,1,-1,1,3,2,2,3,atks2,11983,atks2effe,19001,shoujiPT
62087,女主技能1,2,480,1,3,3,2,3,manuSkl1,11985,manuskl1effe,19001,shoujiPT
62088,女主技能2,2,420,1,3,3,2,3,manuSkl2,11986,manuskl2effe,19001,shoujiPT
62089,女主技能3,1,0,1,3,5,2,3,manuSkl3,11987,manuskl3effe,19006,kong
63087,女主追击1,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
63088,女主追击2,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
63089,女主追击3,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64087,女主状态技1,3,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
64088,女主状态技2,3,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
64089,女主状态技3,3,120,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65087,女主解锁技1,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
65088,女主解锁技2,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
65089,女主解锁技3,1,-1,1,3,2,2,3,atk,11981,atkeffe,19001,shoujiPT
61001,鲁智深单攻,3,150,1,3,5,2,2,atk,11009,xiazabai,19001,shoujiPT
61901,鲁智深多攻,3,150,1,3,5,2,2,atks,11002,qiantuliuci,19001,shoujiPT
62001,鲁智深技能,3,150,1,3,5,2,2,manuSkl,12002,zhudong,19001,shoujiPT
63001,鲁智深追击,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64001,鲁智深状态技,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
65001,鲁智深解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61002,史进单攻,3,170,1,3,5,2,1,atk,11001,shangti,19001,shoujiPT
61902,史进多攻,3,170,1,3,5,2,1,atks,11001,qiantu_shangti,19001,shoujiPT
62002,史进技能,3,170,1,3,5,2,1,manuSkl,12001,zhudong,19001,shoujiPT
63002,史进追击,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64002,史进状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65002,史进解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61003,卢俊义单攻,3,170,1,3,5,2,2,atk,11006,xiaza,19001,shoujiPT
61903,卢俊义多攻,3,140,1,3,5,2,2,atks,11005,xuanzhuan,19001,shoujiPT
62003,卢俊义单攻,3,190,1,3,5,2,1,manuSkl,12005,zhudong,19001,shoujiPT
63003,卢俊义追击,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64003,卢俊义状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65003,卢俊义解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61004,林冲单攻,3,120,1,3,5,2,1,atk,11008,qiantubai,19001,shoujiPT
61904,林冲多攻,3,120,1,3,5,2,1,atks,11002,qiantuliuci,19001,shoujiPT
62004,林冲技能,2,120,1,3,5,2,2,manuSkl,12004,zhudong,19001,shoujiPT
63004,林冲追击,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64004,林冲状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65004,林冲解锁技,3,120,1,3,5,2,1,atk,11008,qiantubai,19001,shoujiPT
61005,呼延灼单攻,3,120,1,3,5,2,1,atk,11003,qiantuliangxia,19001,shoujiPT
61905,呼延灼多攻,3,120,1,3,5,2,1,atks,11004,qiantufenkai,19001,shoujiPT
62005,呼延灼技能,3,120,1,3,5,2,2,manuSkl,12003,zhudong,19001,shoujiPT
63005,呼延灼追击,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64005,呼延灼状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65005,呼延灼解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61006,武松单攻,3,120,1,3,5,2,1,atk,11010,qiantu,19001,shoujiPT
61906,武松多攻,3,120,1,3,5,2,1,atks,11011,shukan,19001,shoujiPT
62006,武松技能,3,240,1,3,5,2,2,manuSkl,12008,zhudong,19001,shoujiPT
63006,武松追击,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64006,武松状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65006,武松解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61007,刘唐普攻,3,180,1,3,5,2,2,atk,11071,atkeffe,19001,shoujiPT
61907,刘唐多攻,3,180,1,3,5,2,2,atks,11072,atkseffe,19001,shoujiPT
62007,刘唐技能,3,190,1,3,5,2,1,manuSkl,11073,manuSkleffe,19010,shoujiZD
63007,刘唐追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64007,刘唐状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65007,刘唐解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61008,李逵普攻,3,120,1,3,5,2,2,atk,11081,atkeffe,19001,shoujiPT
61908,李逵多攻,3,120,1,3,5,2,2,atks,11082,atkseffe,19001,shoujiPT
62008,李逵技能,4,120,1,3,5,2,2,manuSkl,11083,manuSkleffe,19001,shoujiPT
63008,李逵追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64008,李逵状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65008,李逵解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61009,阮小七普攻,3,120,1,3,5,2,2,atk,11091,atkeffe,19001,shoujiPT
61909,阮小七多攻,3,120,1,3,5,2,2,atks,11092,atkseffe,19001,shoujiPT
62009,阮小七技能,3,120,1,3,5,2,1,manuSkl,11093,manuSkleffe,19010,shoujiZD
63009,阮小七追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64009,阮小七状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65009,阮小七解锁技,3,120,1,3,5,2,2,atk,11091,atkeffe,19001,shoujiPT
61010,阮小二普攻,3,120,1,3,5,2,2,atk,11101,atkeffe,19001,shoujiPT
61910,阮小二多攻,3,120,1,3,5,2,2,atks,11102,atkseffe,19001,shoujiPT
62010,阮小二技能,2,220,1,3,5,2,2,manuSkl,11103,manuSkleffe,19001,shoujiPT
63010,阮小二追打技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64010,阮小二状态技,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19001,shoujiPT
65010,阮小二解锁技,1,-1,1,3,5,2,3,victory,19998,buffeffe,19006,kong
61011,石秀普攻,1,-1,1,3,2,2,1,atk,11111,atkeffe,19001,shoujiPT
61911,石秀多攻,1,-1,1,3,2,2,1,atks,11112,atkseffe,19001,shoujiPT
62011,石秀技能,1,-1,1,3,2,2,2,manuSkl,11113,manuSkleffe,19001,shoujiPT
63011,石秀追打技,3,30,1,3,5,2,1,rush2,-1,-1,19001,shoujiPT
64011,石秀状态技,3,120,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
65011,石秀解锁技,1,-1,1,3,5,2,1,atk,11111,atkeffe,19001,shoujiPT
61013,公孙胜普攻,1,-1,1,3,2,2,3,atk,11131,atkeffe,19001,shoujiPT
61913,公孙胜多攻,1,-1,1,3,2,2,3,atks,11132,atkseffe,19001,shoujiPT
62013,公孙胜技能,1,-1,1,3,3,3,3,manuSkl,11133,manuSkleffe,19001,shoujiPT
63013,公孙胜追击技,3,30,1,3,5,2,2,jump2,-1,-1,19001,shoujiPT
64013,公孙胜状态技,1,-1,-1,-1,-1,-1,0,-1,-1,-1,19001,shoujiPT
