id,hero,level,name,icon,type,starLevel,moneyType,price,hp,atk,pdd,mdd,hit,miss,criPrb,criRes,criCoe,coeRes,ctrPrb
410010351,41001,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410010352,41001,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410010353,41001,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410010354,41001,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410010451,41001,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
410010452,41001,45,2级木星石,img_2X_Mu,2,2,1,200000,890,95,35,35,0,0,0,0,0,0,0
410010453,41001,45,3级木星石,img_3X_Mu,2,3,2,600,1110,115,40,40,0,0,0,0,0,0,0
410010454,41001,45,4级木星石,img_4X_Mu,2,4,2,1600,1850,195,70,70,0,0,0,0,0,0,0
410010551,41001,55,1级水星石,img_1X_Sui,3,1,1,200000,1110,115,40,40,0,0,0,0,0,0,0
410010552,41001,55,2级水星石,img_2X_Sui,3,2,1,400000,1295,135,50,50,0,0,0,0,0,0,0
410010553,41001,55,3级水星石,img_3X_Sui,3,3,2,1200,2035,215,75,75,0,0,0,0,0,0,0
410010554,41001,55,4级水星石,img_4X_Sui,3,4,2,2400,2220,230,80,80,0,0,0,0,0,0,0
410010651,41001,65,1级火星石,img_1X_Huo,4,1,1,400000,2035,215,75,75,0,0,0,0,0,0,0
410010652,41001,65,2级火星石,img_2X_Huo,4,2,1,800000,2220,230,80,80,0,0,0,0,0,0,0
410010653,41001,65,3级火星石,img_3X_Huo,4,3,2,1800,2220,230,80,80,0,0,0,0,0,0,0
410010654,41001,65,4级火星石,img_4X_Huo,4,4,2,3200,2960,310,110,110,0,0,0,0,0,0,0
410010751,41001,75,1级金星石,img_1X_Jin,5,1,1,600000,2220,230,80,80,0,0,0,0,0,0,0
410010752,41001,75,2级金星石,img_2X_Jin,5,2,1,1000000,2590,270,95,95,0,0,0,0,0,0,0
410010753,41001,75,3级金星石,img_3X_Jin,5,3,2,2400,2960,310,110,110,0,0,0,0,0,0,0
410010754,41001,75,4级金星石,img_4X_Jin,5,4,2,4000,3700,385,135,135,0,0,0,0,0,0,0
410020351,41002,35,1级土星石,img_1X_Tu,1,1,1,50000,370,40,15,15,0,0,0,0,0,0,0
410020352,41002,35,2级土星石,img_2X_Tu,1,2,1,100000,445,50,20,20,0,0,0,0,0,0,0
410020353,41002,35,3级土星石,img_3X_Tu,1,3,2,300,740,80,30,30,0,0,0,0,0,0,0
410020354,41002,35,4级土星石,img_4X_Tu,1,4,2,800,925,100,35,35,0,0,0,0,0,0,0
410020451,41002,45,1级木星石,img_1X_Mu,2,1,1,100000,740,80,30,30,0,0,0,0,0,0,0
