id,hero,type,des,level,value
410011000,41001,1,拥有鲁智深，加成5% 。,0,0.05
410012003,41001,2,鲁智深达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410012004,41001,2,鲁智深达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410012005,41001,2,鲁智深达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410012006,41001,2,鲁智深达到6星，加成5% 。,6,0.05
410013010,41001,3,鲁智深觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410013019,41001,3,鲁智深觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410013028,41001,3,鲁智深觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410013041,41001,3,鲁智深觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410014004,41001,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410014008,41001,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410014012,41001,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410014016,41001,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410014020,41001,4,购买星石20个，加成5% 。,20,0.05
410021000,41002,1,拥有史进，加成5% 。,0,0.05
410022003,41002,2,史进达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410022004,41002,2,史进达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410022005,41002,2,史进达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410022006,41002,2,史进达到6星，加成5% 。,6,0.05
410023010,41002,3,史进觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410023019,41002,3,史进觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410023028,41002,3,史进觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410023041,41002,3,史进觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410024004,41002,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410024008,41002,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410024012,41002,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410024016,41002,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410024020,41002,4,购买星石20个，加成5% 。,20,0.05
410031000,41003,1,拥有卢俊义，加成5% 。,0,0.05
410032003,41003,2,卢俊义达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410032004,41003,2,卢俊义达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
410032005,41003,2,卢俊义达到5星，加成3% ( 达到6星，加成5%）。,5,0.03
410032006,41003,2,卢俊义达到6星，加成5% 。,6,0.05
410033010,41003,3,卢俊义觉醒至|3bceed::蓝色|，加成1% (|f32cff::紫色|，加成2%）。,10,0.01
410033019,41003,3,卢俊义觉醒至|f32cff::紫色|，加成2% (|ffad2c::橙色|，加成3%）。,19,0.02
410033028,41003,3,卢俊义觉醒至|ffad2c::橙色|，加成3% (|ff3d3d::红色|，加成5%）。,28,0.03
410033041,41003,3,卢俊义觉醒至|ff3d3d::红色|，加成5% 。,41,0.05
410034004,41003,4,购买星石4个，加成1%（购买8个，加成2%）。,4,0.01
410034008,41003,4,购买星石8个，加成2%（购买12个，加成3%）。,8,0.02
410034012,41003,4,购买星石12个，加成3%（购买16个，加成4%）。,12,0.03
410034016,41003,4,购买星石16个，加成4%（购买20个，加成5%）。,16,0.04
410034020,41003,4,购买星石20个，加成5% 。,20,0.05
410041000,41004,1,拥有林冲，加成5% 。,0,0.05
410042003,41004,2,林冲达到3星，加成1% ( 达到4星，加成2%）。,3,0.01
410042004,41004,2,林冲达到4星，加成2% ( 达到5星，加成3%）。,4,0.02
