id,value,desc
10000,1000,装备洗练每次消耗银币
10001,2,装备洗练每次消耗金币
10010,1,剧情关卡扫荡所需时间(秒)
10031,3,3
10032,6,4
10033,9,5
10034,1.9,攻击价值
10035,1.9,物防价值
10036,1.9,魔防价值
10037,1,血量价值
10038,2,每次掠夺消耗精力
10039,23001,一阶武器
10040,21001,一阶帽子
10041,22001,一阶衣服
10042,24001,一阶耳环
10043,25001,绿马
10044,26001,绿书
10045,0.125,连击价值
10046,30,情缘最大等级
10047,30|35|40|45,主角缘分开放等级
10048,1|4|7|10,主角缘分开放VIP等级
10049,10015|1,主角缘分结识消耗道具ID|数量
10050,10015|1,主角缘分刷新消耗道具ID|数量
10051,8,竞技场/试练商城自动刷新时间点1
10052,16,竞技场/试练商城自动刷新时间点2
10053,113,竞技场战斗场景资源
10054,112,掠夺战斗场景资源
10055,114,试练战斗场景资源
10056,20,英雄参与试练等级
10057,5,装备洗练每次消耗洗练石
10058,10008,洗练石
10059,20|20|20|20|20|20|20|20|20|20|20|20|20,竞技场商店刷新价格（竞技场积分）
10060,20|20|20|20|20|20|20|20|20|20|20|20|20,试炼商店刷新价格（试炼积分）
10061,20|20|20|20|20|20|20|20|20|20|20|20|20,帮派商店价格（帮派荣誉）10074 无效
10062,10003,金币抽卡令
10063,10004,银币抽卡令
10064,10|20|20|40|40|40|40|80|80|80|80|80|80|120|120|120|120|120|120|120|120|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150|150,祈福价格
10065,20000,单次祈福银币数量
10066,50|50|100|100|100|100|200|200|200|200|400|400|400|400|800|800|800|800|1600|1600,购买体力价格（金币）
10067,30|30|60|60|60|60|120|120|120|120|240|240|240|240|480|480|480|480|960|960,购买精力价格（金币）
10068,100,单次购买体力
10069,20,单次购买精力
10070,100|200|500|1000,购买活动关卡副本次数价格（金币）
10071,50|50|100|150|200|300|400|500|600|700,重置PVE普通关卡副本次数价格（金币）
10072,100|100|200|200|200|200|400|400|400|400|400|400|800|800|800|800|800|800|800|800,迷宫行动力价格（金币）
10073,10,单次购买迷宫行动力
10074,20|20|20|20|20|20|20|20|20|20|20|20|20,帮派商店价格（声望）
10075,100|200|400|600|1000,购买（重置）爬塔次数价格（金币）
10076,100|200|400|600|1000,购买（重置）地底试炼价格（金币）
10077,360,体力回复(s)
10078,3600,精力回复(s)
10079,level_4,竞技场战斗音乐
10080,level_6,爬塔战斗音乐
10081,level_3,生存试练战斗音乐
10082,level_5,迷宫战斗音乐
10083,level_1,情缘战斗音乐
10084,level_2,活动关卡战斗音乐
10085,level_4,掠夺战斗音乐
10086,level_1,帮派战斗音乐
10087,level_4,世界BOSS战斗音乐
10088,3,情缘喝酒开启
10089,6,游玩情缘开启
10090,100,修改昵称花费（金币）
10091,level_4,假战斗音乐
10092,106,情缘战斗场景资源
10093,10016|10017|10018|10019,阵型经验道具
10094,10009,阵型石
10095,10016|10017,掠夺默认显示道具
10096,10,BOSS战冷却CD 金币消耗
10097,50|100|150|200|250,BOSS 每次鼓励金币消耗
10098,112,BOSS战斗场景
10099,20,4小时免战
10100,1,八卦商店刷新刷新令消耗数量
10101,20,八卦商店刷新金币消耗数量
10102,1,九宫商店刷新刷新令消耗数量
10103,20,九宫商店刷新金币消耗数量
10104,10016|10017|10018|10019|10020|10021|10022|10023|10024|10025|10026,可能显示阵型经验、阵法
10105,"10016,500|10017,1000|10018,1500|10019,3000",阵法排强化消耗
10106,1,扫荡券价格（金币）
10107,"41009,1|10003,1|10001,10|11002,100000",首次充值奖励
10108,80,玩家最大等级上限
10109,10045|10046|10047,马书经验道具ID
10110,10048|10049|10050,兵书经验道具ID
10111,10000,友情点道具ID
10112,500,友情点重置价格（金币）
10113,20,马书开放等级
10114,20,兵法开放等级
10115,73000|73001|73007|10047,淬炼宝匣展示
10116,220,金币单抽
10117,2000,金币十单抽
10118,10000,银币单抽
10119,98000,银币十单抽
10120,10052,宝匣钥匙
10121,50,淬炼宝匣单抽
10122,480,淬炼宝匣十连抽
10123,2,购买理柴通VIP等级要求
10124,1000,购买理柴通金币价格
10125,30,月卡天数
10126,20|20|20|20|20|20|20|20|20|20|20|20|20,杂货商店刷新价格（金币）
10127,5|5|10|10|20|20|20|20,竞技场购买价格
10128,5,竞技场免费次数
10129,220,限时神将单抽（抽卡）
10130,2000,限时神将十连抽（抽卡）
10131,50,限时神将单抽（抽宝匣）
10132,480,限时神将十连抽（抽宝匣）
10133,20|50|50|50,帮派BOSS 每次鼓励金币消耗
10134,10071,帮派锦囊道具ID
10135,305001,帮派BOSS战斗ID
10136,0.08,帮派BOSS每次鼓舞加成
10137,5,帮派boss鼓舞次数上限
10138,1|4|7|10|13|16|19|22|25|28|31|34|37|41,英雄缘分觉醒等级解锁对应等级
10139,50|100|100,神秘商店刷新价格
