id,signType,signDate,signCondition,signReward,vipDouble,vipLevel,rewardBet,showHero
200031,2,20151001,-1,"10001,1",1,1,2,"41016,55"
200032,2,20151002,-1,"31016,5",1,1,3,"41016,55"
200033,2,20151003,-1,"10002,1",0,-1,-1,"41016,55"
200034,2,20151004,-1,"10008,10",0,-1,-1,"41016,55"
200035,2,20151005,-1,"10010,20",1,2,2,"41016,55"
200036,2,20151006,-1,"11001,50",0,-1,-1,"41016,55"
200037,2,20151007,-1,"10003,1",1,3,2,"41016,55"
200038,2,20151008,-1,"10015,1",0,-1,-1,"41016,55"
200039,2,20151009,-1,"10101,5",0,-1,-1,"41016,55"
200040,2,20151010,-1,"31016,5",1,4,2,"41016,55"
200041,2,20151011,-1,"10001,1",0,-1,-1,"41016,55"
200042,2,20151012,-1,"11001,50",1,5,2,"41016,55"
200043,2,20151013,-1,"10102,5",0,-1,-1,"41016,55"
200044,2,20151014,-1,"10008,10",0,-1,-1,"41016,55"
200045,2,20151015,-1,"31016,5",1,6,2,"41016,55"
200046,2,20151016,-1,"10010,20",0,-1,-1,"41016,55"
200047,2,20151017,-1,"10003,1",1,7,2,"41016,55"
200048,2,20151018,-1,"10103,5",0,-1,-1,"41016,55"
200049,2,20151019,-1,"10014,1",0,-1,-1,"41016,55"
200050,2,20151020,-1,"11001,50",1,8,2,"41016,55"
200051,2,20151021,-1,"10001,1",0,-1,-1,"41016,55"
200052,2,20151022,-1,"10104,5",1,9,2,"41016,55"
200053,2,20151023,-1,"10002,1",0,-1,-1,"41016,55"
200054,2,20151024,-1,"10008,10",0,-1,-1,"41016,55"
200055,2,20151025,-1,"31016,5",1,10,2,"41016,55"
200056,2,20151026,-1,"10015,1",0,-1,-1,"41016,55"
200057,2,20151027,-1,"11001,50",1,10,2,"41016,55"
200058,2,20151028,-1,"10014,2",0,-1,-1,"41016,55"
200059,2,20151029,-1,"10010,30",0,-1,-1,"41016,55"
200060,2,20151030,-1,"31016,5",1,11,2,"41016,55"
200061,2,20151031,-1,"10008,20",1,11,2,"41016,55"
200062,2,20151101,-1,"10001,1",1,1,2,"41016,55"
200063,2,20151102,-1,"31016,5",1,1,3,"41016,55"
200064,2,20151103,-1,"10002,1",0,-1,-1,"41016,55"
200065,2,20151104,-1,"10008,10",0,-1,-1,"41016,55"
200066,2,20151105,-1,"10010,20",1,2,2,"41016,55"
200067,2,20151106,-1,"11001,50",0,-1,-1,"41016,55"
200068,2,20151107,-1,"10003,1",1,3,2,"41016,55"
200069,2,20151108,-1,"10015,1",0,-1,-1,"41016,55"
200070,2,20151109,-1,"10101,5",0,-1,-1,"41016,55"
200071,2,20151110,-1,"31016,5",1,4,2,"41016,55"
200072,2,20151111,-1,"10001,1",0,-1,-1,"41016,55"
200073,2,20151112,-1,"11001,50",1,5,2,"41016,55"
200074,2,20151113,-1,"10102,5",0,-1,-1,"41016,55"
200075,2,20151114,-1,"10008,10",0,-1,-1,"41016,55"
200076,2,20151115,-1,"31016,5",1,6,2,"41016,55"
200077,2,20151116,-1,"10010,20",0,-1,-1,"41016,55"
200078,2,20151117,-1,"10003,1",1,7,2,"41016,55"
200079,2,20151118,-1,"10103,5",0,-1,-1,"41016,55"
200080,2,20151119,-1,"10014,1",0,-1,-1,"41016,55"
200081,2,20151120,-1,"11001,50",1,8,2,"41016,55"
200082,2,20151121,-1,"10001,1",0,-1,-1,"41016,55"
200083,2,20151122,-1,"10104,5",1,9,2,"41016,55"
200084,2,20151123,-1,"10002,1",0,-1,-1,"41016,55"
200085,2,20151124,-1,"10008,10",0,-1,-1,"41016,55"
200086,2,20151125,-1,"31016,5",1,10,2,"41016,55"
200087,2,20151126,-1,"10015,1",0,-1,-1,"41016,55"
200088,2,20151127,-1,"11001,50",1,10,2,"41016,55"
200089,2,20151128,-1,"10014,2",0,-1,-1,"41016,55"
200090,2,20151129,-1,"10010,30",0,-1,-1,"41016,55"
200091,2,20151130,-1,"31016,5",1,11,2,"41016,55"
200092,2,20151201,-1,"10001,1",1,1,2,"41016,55"
200093,2,20151202,-1,"31016,5",1,1,3,"41016,55"
200094,2,20151203,-1,"10002,1",0,-1,-1,"41016,55"
200095,2,20151204,-1,"10008,10",0,-1,-1,"41016,55"
200096,2,20151205,-1,"10010,20",1,2,2,"41016,55"
200097,2,20151206,-1,"11001,50",0,-1,-1,"41016,55"
200098,2,20151207,-1,"10003,1",1,3,2,"41016,55"
200099,2,20151208,-1,"10015,1",0,-1,-1,"41016,55"
200100,2,20151209,-1,"10101,5",0,-1,-1,"41016,55"
200101,2,20151210,-1,"31016,5",1,4,2,"41016,55"
200102,2,20151211,-1,"10001,1",0,-1,-1,"41016,55"
200103,2,20151212,-1,"11001,50",1,5,2,"41016,55"
200104,2,20151213,-1,"10102,5",0,-1,-1,"41016,55"
200105,2,20151214,-1,"10008,10",0,-1,-1,"41016,55"
200106,2,20151215,-1,"31016,5",1,6,2,"41016,55"
200107,2,20151216,-1,"10010,20",0,-1,-1,"41016,55"
200108,2,20151217,-1,"10003,1",1,7,2,"41016,55"
200109,2,20151218,-1,"10103,5",0,-1,-1,"41016,55"
200110,2,20151219,-1,"10014,1",0,-1,-1,"41016,55"
200111,2,20151220,-1,"11001,50",1,8,2,"41016,55"
200112,2,20151221,-1,"10001,1",0,-1,-1,"41016,55"
200113,2,20151222,-1,"10104,5",1,9,2,"41016,55"
200114,2,20151223,-1,"10002,1",0,-1,-1,"41016,55"
200115,2,20151224,-1,"10008,10",0,-1,-1,"41016,55"
200116,2,20151225,-1,"31016,5",1,10,2,"41016,55"
200117,2,20151226,-1,"10015,1",0,-1,-1,"41016,55"
200118,2,20151227,-1,"11001,50",1,10,2,"41016,55"
200119,2,20151228,-1,"10014,2",0,-1,-1,"41016,55"
200120,2,20151229,-1,"10010,30",0,-1,-1,"41016,55"
200121,2,20151230,-1,"31016,5",1,11,2,"41016,55"
200122,2,20151231,-1,"10008,20",1,11,2,"41016,55"
200123,2,20160101,-1,"10001,1",1,1,2,"41016,55"
200124,2,20160102,-1,"31016,5",1,1,3,"41016,55"
200125,2,20160103,-1,"10002,1",0,-1,-1,"41016,55"
200126,2,20160104,-1,"10008,10",0,-1,-1,"41016,55"
200127,2,20160105,-1,"10010,20",1,2,2,"41016,55"
200128,2,20160106,-1,"11001,50",0,-1,-1,"41016,55"
200129,2,20160107,-1,"10003,1",1,3,2,"41016,55"
200130,2,20160108,-1,"10015,1",0,-1,-1,"41016,55"
200131,2,20160109,-1,"10101,5",0,-1,-1,"41016,55"
200132,2,20160110,-1,"31016,5",1,4,2,"41016,55"
200133,2,20160111,-1,"10001,1",0,-1,-1,"41016,55"
200134,2,20160112,-1,"11001,50",1,5,2,"41016,55"
200135,2,20160113,-1,"10102,5",0,-1,-1,"41016,55"
200136,2,20160114,-1,"10008,10",0,-1,-1,"41016,55"
200137,2,20160115,-1,"31016,5",1,6,2,"41016,55"
200138,2,20160116,-1,"10010,20",0,-1,-1,"41016,55"
200139,2,20160117,-1,"10003,1",1,7,2,"41016,55"
200140,2,20160118,-1,"10103,5",0,-1,-1,"41016,55"
200141,2,20160119,-1,"10014,1",0,-1,-1,"41016,55"
200142,2,20160120,-1,"11001,50",1,8,2,"41016,55"
200143,2,20160121,-1,"10001,1",0,-1,-1,"41016,55"
200144,2,20160122,-1,"10104,5",1,9,2,"41016,55"
200145,2,20160123,-1,"10002,1",0,-1,-1,"41016,55"
200146,2,20160124,-1,"10008,10",0,-1,-1,"41016,55"
200147,2,20160125,-1,"31016,5",1,10,2,"41016,55"
200148,2,20160126,-1,"10015,1",0,-1,-1,"41016,55"
200149,2,20160127,-1,"11001,50",1,10,2,"41016,55"
200150,2,20160128,-1,"10014,2",0,-1,-1,"41016,55"
200151,2,20160129,-1,"10010,30",0,-1,-1,"41016,55"
200152,2,20160130,-1,"31016,5",1,11,2,"41016,55"
200153,2,20160131,-1,"10008,20",1,11,2,"41016,55"
200154,2,20160201,-1,"10001,1",1,1,2,"41016,55"
200155,2,20160202,-1,"31016,5",1,1,3,"41016,55"
200156,2,20160203,-1,"10002,1",0,-1,-1,"41016,55"
200157,2,20160204,-1,"10008,10",0,-1,-1,"41016,55"
200158,2,20160205,-1,"10010,20",1,2,2,"41016,55"
200159,2,20160206,-1,"11001,50",0,-1,-1,"41016,55"
200160,2,20160207,-1,"10003,1",1,3,2,"41016,55"
200161,2,20160208,-1,"10015,1",0,-1,-1,"41016,55"
200162,2,20160209,-1,"10101,5",0,-1,-1,"41016,55"
