id,missName,missInfo,missTyp,refTyp,avLevel,exId,avTime,disPlay,amount1,amount2,coin,gold,exp,strength,item,finish, interface,resId
20001,VIP福利,vip每日免费领取扫荡券,2,24,12,-1,-1,2,0,-1,0,0,0,0,-1,0,-1,10024
20002,月卡,购买月卡，每日领取120金币,2,28,12,-1,-1,14,-1,-1,0,120,0,0,-1,0,-1,10008
20003,午餐时间,每日11:00至14:00可领取50点体力,2,22,12,-1,0,3,11,14,0,0,0,50,-1,0,-1,10009
20004,晚餐时间,每日17:00至20:00可领取50点体力,2,22,12,-1,14,3,17,20,0,0,0,50,-1,0,-1,10009
20005,祈福,祈福2次,2,31,13,-1,-1,18,2,-1,5000,20,50,0,-1,1,12,10028
20006,解开封印,解开封印5次,2,25,14,-1,-1,5,5,-1,1000,0,50,0,-1,1,9,10011
20007,副本通关,通关任意关卡10次,2,14,12,-1,-1,1,10,-1,5000,0,60,0,"10001,1",1,1,10001
20008,英雄礼物,给任意英雄赠送礼3次,2,21,14,-1,-1,17,3,-1,1000,0,50,0,-1,1,4,10021
20009,巅峰对决,完成5次竞技场挑战,2,16,15,-1,-1,6,5,-1,1000,0,80,0,"10002,1",1,3,10020
20010,超强阵法,完成5次阵法截取,2,15,30,-1,-1,7,5,-1,1000,0,100,0,"10002,1",1,6,10017
20011,装备强化,装备强化5次,2,26,13,-1,-1,8,5,-1,5000,0,100,0,-1,1,2,10025
20012,神器洗练,神器洗练3次,2,50,23,-1,-1,9,3,-1,1000,0,60,0,"10008,10",1,15,10039
20013,幻境,完成1次幻境,2,20,18,-1,-1,10,1,-1,1000,0,50,0,-1,1,8,10007
20014,地底试炼,完成1次地底试炼挑战,2,19,25,-1,-1,11,1,-1,1000,0,100,0,-1,1,5,10006
20015,千层塔,完成1次千层塔挑战,2,18,25,-1,-1,12,1,-1,1000,0,50,0,-1,1,5,10023
20016,好友成群,为10名好友赠送体力,2,17,15,-1,-1,16,10,-1,1000,0,50,0,-1,1,7,10004
20017,阵位强化,强化任意阵位一次,2,27,30,-1,-1,13,1,-1,5000,0,50,0,-1,1,10,10015
20018,天罡封印,解开天罡封印一次,2,29,13,-1,-1,4,1,-1,1000,0,50,0,"10014,1",1,9,10035
20020,世界boss,攻击世界BOSS一次,2,32,26,-1,-1,19,1,-1,5000,50,0,0,-1,0,13,10029
20021,精英关卡,通关任意精英关卡3次,2,39,14,-1,-1,3,3,-1,5000,0,50,0,-1,1,1,10001
20022,金币消费,每日累积消费200金币,2,40,13,-1,-1,20,200,-1,0,50,0,0,-1,1,9,10011
20023,英雄升级,使用1次英雄经验丹道具,2,41,17,-1,-1,21,1,-1,5000,0,50,0,-1,1,2,10021
20024,至尊卡,购买至尊卡，永久每日领取120金币,2,45,12,-1,-1,15,-1,-1,0,120,0,0,-1,0,-1,10008
20025,帮派捐献,帮派捐献3次,2,49,21,-1,-1,21,3,-1,5000,0,50,0,-1,1,16,10038
20026,夜宵时间,每日21:00至23:00可领取50点体力,2,22,12,-1,20,3,21,23,0,0,0,50,-1,0,-1,10009
20027,VIP5福利,vip5每日免费领取1个宝匣钥匙,2,51,12,-1,-1,22,5,-1,0,0,0,0,"10052,1",0,-1,10024
20028,VIP8福利,vip8每日免费领取1个万能碎片,2,51,12,-1,-1,23,8,-1,0,0,0,0,"10051,1",0,-1,10024
20029,帮派BOSS,挑战帮派BOSS一次,2,52,20,-1,-1,18,1,-1,5000,0,50,0,"10071,10",1,16,10024
20030,体力购买,购买体力一次,2,54,13,-1,-1,15,1,-1,0,0,50,10,-1,1,17,10024
20031,每日挑战,完成一次每日挑战,2,55,12,-1,-1,17,1,-1,10000,0,50,0,-1,1,18,10024
10001,主角等级,主角等级达到5级,1,1,1,-1,-1,2,5,-1,5000,10,0,0,-1,0,-1,10018
10002,主角等级,主角等级达到10级,1,1,1,10001,-1,2,10,-1,8000,10,0,0,-1,0,-1,10018
