id,lefTpy,leftIcon,interFace,rightIcon
1,-1,-1,-1,-1
2,1,90005,10001,90030
3,2,90005,-1,90030
4,1,90030,10001,90002
5,2,90005,10001,90002
6,1,90002,10001,90019
7,1,90019,10001,90022
8,2,90002,10001,90022
9,1,90022,10001,90013
10,2,90005,10001,90013
11,1,90013,10001,90019
12,1,90019,10001,90012
13,2,90005,10001,90012
14,1,90012,10001,90006
15,1,90006,10001,90015
16,2,90002,10001,90015
17,1,90015,10001,90024
18,2,90002,10001,90024
19,1,90024,10001,90029
20,2,90005,10001,90029
21,1,90029,10001,90020
22,1,90020,10001,90028
23,2,90005,10001,90028
24,1,90028,10001,90025
25,1,90025,10001,90004
26,2,90005,10001,90004
27,1,90004,10001,90004
28,2,90005,10001,90017
29,2,90005,10001,90017
30,1,90017,10001,90023
31,2,90005,10001,90023
32,2,90005,10001,90023
33,1,90023,10001,90021
34,2,90005,10001,90021
35,1,90021,10001,90026
36,2,90002,10001,90026
37,2,90005,10001,90026
38,2,90002,10001,90026
39,2,90005,10001,90026
40,2,90002,10001,90026
41,1,90026,10001,-1
