id,exp,name,coin,taskitem,box,oldprice,price,power,energy,speed,sweep,barrier,activity,tower,trial,gift,playNum,drinkNum,buyDrinkNum,drinkHero,action,arenashop,trialshop,goldshop,factionshop,jiuZhuandan,hunTiandan,coinNum,coinCrit,bossNum,mysticalshop,eqCrit,des
0,0,VIP0,0,  ,"11002,20000|10011,5|10010,10",88,0,2,2,1,0,1,0,0,0,20,2,3,0,4,0,5,5,5,5,5,5,10,0,3,2,"3,0|2,0|1,100",累计充值|0x36d94d::60|金币/n升级至VIP1即可享受以下所有特权。/n开启扫荡10次功能。/n每天可购买体力|0x36d94d::3|次。/n每天可购买精力|0x36d94d::3|次。/n每天单个普通/精英关卡可重置|0x36d94d::2|次。/n每天单个礼物可购买|0x36d94d::40|次。/n每天情缘游玩次数增加至|0x36d94d::3|次。/n每天可猜拳次数增加|0x36d94d::2|次。/n每天可和|0x36d94d::5|人猜拳。/n竞技商店可刷新|0x36d94d::10|次。/n试炼商店可刷新|0x36d94d::10|次。/n杂货商店可刷新|0x36d94d::10|次。/n帮派商店可刷新|0x36d94d::10|次。/n八卦商店可刷新|0x36d94d::10|次。/n九宫商店可刷新|0x36d94d::10|次。/n每天可祈福|0x36d94d::20|次。/n每天可挑战帮派BOSS|0x36d94d::4|次。
1,60,VIP1,10000,"10010,20","11002,50000|10011,20|10002,2|10010,20",280,18,3,3,2,1,2,0,0,0,40,3,3,2,5,0,10,10,10,10,10,10,20,3,4,2,"3,0|2,0|1,100",累计充值|0x36d94d::60|金币/n即可享受以下所有特权。/n开启扫荡10次功能。/n每天可购买体力|0x36d94d::3|次。/n每天可购买精力|0x36d94d::3|次。/n开启|0x36d94d::2|倍战斗速率。/n每天单个普通/精英关卡可重置|0x36d94d::2|次。/n每天单个礼物可购买|0x36d94d::40|次。/n每天情缘游玩次数增加至|0x36d94d::3|次。/n每天可猜拳次数增加|0x36d94d::2|次。/n每天可和|0x36d94d::5|人猜拳。/n竞技商店可刷新|0x36d94d::10|次。/n试炼商店可刷新|0x36d94d::10|次。/n杂货商店可刷新|0x36d94d::10|次。/n帮派商店可刷新|0x36d94d::10|次。/n八卦商店可刷新|0x36d94d::10|次。/n九宫商店可刷新|0x36d94d::10|次。/n每天可祈福|0x36d94d::20|次。/n每天可挑战帮派BOSS|0x36d94d::4|次。
2,300,VIP2,10000,"10010,25","10003,1|10052,5|11002,100000|10011,30",800,128,4,4,2,1,2,0,0,0,60,3,3,2,6,0,20,20,20,20,20,20,30,3,5,2,"3,0|2,0|1,100",累计充值|0x36d94d::300|金币/n即可享受包含VIP1及以下所有特权。/n每天可购买体力|0x36d94d::4|次。/n每天可购买精力|0x36d94d::4|次。/n每天单个普通/精英关卡可重置|0x36d94d::2|次。/n每天单个礼物可购买|0x36d94d::60|次。/n每天情缘游玩次数增加至|0x36d94d::3|次。/n每天可猜拳次数增加|0x36d94d::2|次。/n每天可和|0x36d94d::6|人猜拳。/n竞技商店可刷新|0x36d94d::20|次。/n试炼商店可刷新|0x36d94d::20|次。/n杂货商店可刷新|0x36d94d::20|次。/n帮派商店可刷新|0x36d94d::20|次。/n八卦商店可刷新|0x36d94d::20|次。/n九宫商店可刷新|0x36d94d::20|次。/n每天可祈福|0x36d94d::30|次。/n每天可挑战帮派BOSS|0x36d94d::5|次。
3,600,VIP3,10000,"10010,30","10003,10|11002,100000|10011,30",2080,280,5,5,2,1,2,0,0,0,80,3,3,2,7,0,30,30,30,30,30,30,40,3,5,2,"3,0|2,0|1,100",累计充值|0x36d94d::600|金币/n可享受包含VIP2及以下所有特权。/n每天可购买体力|0x36d94d::5|次。/n每天可购买精力|0x36d94d::5|次。/n每天单个普通/精英关卡可重置|0x36d94d::2|次。/n每天单个礼物可购买|0x36d94d::80|次。/n每天情缘游玩次数增加至|0x36d94d::3|次。/n每天可猜拳次数增加|0x36d94d::2|次。/n每天可和|0x36d94d::7|人猜拳。/n竞技商店可刷新|0x36d94d::30|次。/n试炼商店可刷新|0x36d94d::30|次。/n杂货商店可刷新|0x36d94d::30|次。/n帮派商店可刷新|0x36d94d::30|次。/n八卦商店可刷新|0x36d94d::30|次。/n九宫商店可刷新|0x36d94d::30|次。/n每天可祈福|0x36d94d::40|次。/n每天可挑战帮派BOSS|0x36d94d::5|次。
4,1000,VIP4,10000,"10010,35","31009,60|11002,150000|10012,20",2680,480,7,7,3,1,3,0,1,1,100,3,3,3,8,1,40,40,40,40,40,40,60,3,6,2,"3,0|2,0|1,100",累计充值|0x36d94d::1000|金币/n即可享受包含VIP3及以下所有特权。/n每天可购买体力|0x36d94d::7|次。/n每天可购买精力|0x36d94d::7|次。/n开启|0x36d94d::3|倍战斗速率。/n每天单个普通/精英关卡可重置|0x36d94d::3|次。/n每天可额外重置|0x36d94d::1|次爬塔。/n每天单个礼物可购买|0x36d94d::100|次。/n每天情缘游玩次数增加至|0x36d94d::3|次。/n每天可猜拳次数增加|0x36d94d::3|次。/n每天可和|0x36d94d::8|人猜拳。/n每天可购买|0x36d94d::10|点幻境行动力。/n竞技商店可刷新|0x36d94d::40|次。/n试炼商店可刷新|0x36d94d::40|次。/n杂货商店可刷新|0x36d94d::40|次。/n帮派商店可刷新|0x36d94d::40|次。/n八卦商店可刷新|0x36d94d::40|次。/n九宫商店可刷新|0x36d94d::40|次。/n每天可祈福|0x36d94d::60|次。/n每天可挑战帮派BOSS|0x36d94d::6|次。
5,2000,VIP5,10000,"10010,40","73004,1|73000,1|10047,3|11002,150000",3280,680,8,8,3,1,4,0,1,1,120,3,3,3,9,2,50,50,50,50,50,50,80,3,6,2,"3,0|2,0|1,100",累计充值|0x36d94d::2000|金币/n即可享受包含VIP4及以下所有特权。/n每天可购买体力|0x36d94d::8|次。/n每天可购买精力|0x36d94d::8|次。/n每天单个普通/精英关卡可重置|0x36d94d::4|次。/n每天可额外重置|0x36d94d::1|次爬塔。/n每天单个礼物可购买|0x36d94d::120|次。/n每天情缘游玩次数增加至|0x36d94d::3|次。/n每天可猜拳次数增加|0x36d94d::3|次。/n每天可和|0x36d94d::9|人猜拳。/n每天可购买|0x36d94d::20|点幻境行动力。/n竞技商店可刷新|0x36d94d::50|次。/n试炼商店可刷新|0x36d94d::50|次。/n杂货商店可刷新|0x36d94d::50|次。/n帮派商店可刷新|0x36d94d::50|次。/n八卦商店可刷新|0x36d94d::50|次。/n九宫商店可刷新|0x36d94d::50|次。/n每天可祈福|0x36d94d::80|次。/n每天可挑战帮派BOSS|0x36d94d::6|次。
6,3000,VIP6,10000,"10010,45","31009,130|11002,200000|10012,20",4880,1080,10,10,3,1,5,1,2,2,140,3,3,3,10,3,60,60,60,60,60,60,100,5,7,2,"3,0|2,0|1,100",累计充值|0x36d94d::3000|金币/n即可享受包含VIP5及以下所有特权。/n每天可购买体力|0x36d94d::10|次。/n每天可购买精力|0x36d94d::10|次。/n每天单个普通/精英关卡可重置|0x36d94d::5|次。/n每天可重置|0x36d94d::1|次活动关卡。/n每天可额外重置|0x36d94d::2|次爬塔。/n每天单个礼物可购买|0x36d94d::140|次。/n每天情缘游玩次数增加至|0x36d94d::3|次。/n每天可猜拳次数增加|0x36d94d::3|次。/n每天可和|0x36d94d::10|人猜拳。/n每天可购买|0x36d94d::30|点幻境行动力。/n竞技商店可刷新|0x36d94d::60|次。/n试炼商店可刷新|0x36d94d::60|次。/n杂货商店可刷新|0x36d94d::60|次。/n帮派商店可刷新|0x36d94d::60|次。/n八卦商店可刷新|0x36d94d::60|次。/n九宫商店可刷新|0x36d94d::60|次。/n每天可祈福|0x36d94d::100|次。/n每天可挑战帮派BOSS|0x36d94d::7|次。
7,5000,VIP7,10000,"10010,50","73011,1|73000,1|10050,3|11002,200000",6080,1280,11,11,3,1,6,1,2,2,160,3,3,4,12,4,70,70,70,70,70,70,120,5,7,2,"3,0|2,0|1,100",累计充值|0x36d94d::5000|金币/n即可享受包含VIP6及以下所有特权。/n每天可购买体力|0x36d94d::11|次。/n每天可购买精力|0x36d94d::11|次。/n每天单个普通/精英关卡可重置|0x36d94d::6|次。/n每天可重置|0x36d94d::1|次活动关卡。/n每天可额外重置|0x36d94d::2|次爬塔。/n每天单个礼物可购买|0x36d94d::160|次。/n每天情缘游玩次数增加至|0x36d94d::3|次。/n每天可猜拳次数增加|0x36d94d::4|次。/n每天可和|0x36d94d::12|人猜拳。/n每天可购买|0x36d94d::40|点幻境行动力。/n竞技商店可刷新|0x36d94d::70|次。/n试炼商店可刷新|0x36d94d::70|次。/n杂货商店可刷新|0x36d94d::70|次。/n帮派商店可刷新|0x36d94d::70|次。/n八卦商店可刷新|0x36d94d::70|次。/n九宫商店可刷新|0x36d94d::70|次。/n每天可祈福|0x36d94d::120|次。/n每天可挑战帮派BOSS|0x36d94d::7|次。
8,7000,VIP8,10000,"10010,55","73027,1|10047,5|10050,5|73000,2",8080,1680,12,12,3,1,7,1,2,2,180,4,3,4,14,5,80,80,80,80,80,80,140,5,8,2,"3,0|2,0|1,100",累计充值|0x36d94d::7000|金币/n即可享受包含VIP7及以下所有特权。/n每天可购买体力|0x36d94d::12|次。/n每天可购买精力|0x36d94d::12|次。/n每天单个普通/精英关卡可重置|0x36d94d::7|次。/n每天可重置|0x36d94d::1|次活动关卡。/n每天可额外重置|0x36d94d::2|次爬塔。/n每天单个礼物可购买|0x36d94d::180|次。/n每天情缘游玩次数增加至|0x36d94d::4|次。/n每天可猜拳次数增加|0x36d94d::4|次。/n每天可和|0x36d94d::14|人猜拳。/n每天可购买|0x36d94d::50|点幻境行动力。/n竞技商店可刷新|0x36d94d::80|次。/n试炼商店可刷新|0x36d94d::80|次。/n杂货商店可刷新|0x36d94d::80|次。/n帮派商店可刷新|0x36d94d::80|次。/n八卦商店可刷新|0x36d94d::80|次。/n九宫商店可刷新|0x36d94d::80|次。/n每天可祈福|0x36d94d::140|次。/n每天可挑战帮派BOSS|0x36d94d::8|次。
9,10000,VIP9,10000,"10010,60","31009,260|11002,200000|10012,30",12800,2280,14,14,3,1,8,2,2,2,200,4,3,4,16,6,90,90,90,90,90,90,160,5,8,2,"3,0|2,0|1,100",累计充值|0x36d94d::10000|金币/n即可享受包含VIP8及以下所有特权。/n每天可购买体力|0x36d94d::14|次。/n每天可购买精力|0x36d94d::14|次。/n每天单个普通/精英关卡可重置|0x36d94d::8|次。/n每天可重置|0x36d94d::2|次活动关卡。/n每天可额外重置|0x36d94d::2|次爬塔。/n每天单个礼物可购买|0x36d94d::200|次。/n每天情缘游玩次数增加至|0x36d94d::4|次。/n每天可猜拳次数增加|0x36d94d::4|次。/n每天可和|0x36d94d::16|人猜拳。/n每天可购买|0x36d94d::60|点幻境行动力。/n竞技商店可刷新|0x36d94d::90|次。/n试炼商店可刷新|0x36d94d::90|次。/n杂货商店可刷新|0x36d94d::90|次。/n帮派商店可刷新|0x36d94d::90|次。/n八卦商店可刷新|0x36d94d::90|次。/n九宫商店可刷新|0x36d94d::90|次。/n每天可祈福|0x36d94d::160|次。/n每天可挑战帮派BOSS|0x36d94d::8|次。
